Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Julius Randle,31.0,PF,79,79,2610,0,0,3,93,5,4.3,2.4,102,74,91,24,239,2,1020,65,61,,MIN,2026
2.0,Donte DiVincenzo,29.0,SG,82,82,2494,44,50,6,0,0,6.3,7.6,79,26,83,8,34,28,724,8,15,,MIN,2026
3.0,Rudy Gobert,33.0,C,76,76,2380,0,0,0,0,100,5.1,3.9,37,40,98,19,136,5,326,26,39,"DPOY-4,DEF1",MIN,2026
4.0,Jaden McDaniels,25.0,PF,73,73,2316,0,1,88,9,1,3.2,-0.7,62,46,111,9,80,17,487,17,42,,MIN,2026
5.0,Anthony Edwards,24.0,SG,61,60,2137,1,64,34,1,0,3.4,-0.2,81,61,43,11,195,4,549,40,29,"CPOY-3,AS",MIN,2026
6.0,Naz Reid,26.0,C,77,3,2007,0,0,0,45,55,3.8,0.5,60,41,118,13,60,11,422,17,40,6MOY-4,MIN,2026
7.0,Bones Hyland,25.0,PG,71,3,1177,92,8,0,0,0,4.0,0.7,36,17,50,8,26,6,445,5,29,,MIN,2026
8.0,Mike Conley,38.0,PG,54,15,991,100,0,0,0,0,1.2,-3.1,24,4,51,3,13,15,377,0,3,,MIN,2026
9.0,Jaylen Clark,24.0,SG,68,1,888,11,64,25,0,0,6.2,3.4,8,9,38,3,34,3,101,10,12,,MIN,2026
10.0,Ayo Dosunmu,26.0,SG,24,9,694,48,51,1,0,0,2.2,-1.6,14,12,29,1,21,0,200,7,16,6MOY-9,MIN,2026
11.0,Terrence Shannon Jr.,25.0,SG,43,2,538,1,29,59,11,0,-6.6,-11.7,15,7,34,0,27,6,95,1,14,,MIN,2026
12.0,Kyle Anderson,32.0,SF,19,2,363,0,10,64,24,2,-0.1,-4.0,8,2,21,1,10,0,147,2,4,,MIN,2026
13.0,Rob Dillingham,21.0,PG,35,0,326,86,14,0,0,0,-6.3,-10.6,26,8,20,1,8,2,141,2,18,,MIN,2026
14.0,Joan Beringer,19.0,PF,40,3,314,0,0,0,20,81,4.3,0.8,1,7,37,2,18,0,30,5,10,,MIN,2026
15.0,Joe Ingles,38.0,SF,27,2,153,0,5,53,42,0,-4.8,-8.6,12,1,5,1,1,1,77,0,0,,MIN,2026
16.0,Leonard Miller,22.0,SF,19,0,95,0,0,2,87,11,-7.4,-11.2,1,7,7,1,5,1,11,1,2,,MIN,2026
17.0,Julian Phillips,22.0,SF,13,0,94,0,15,58,27,0,-6.5,-10.3,1,1,4,1,6,0,8,2,1,,MIN,2026
18.0,Johnny Juzang,24.0,SG,21,0,88,0,39,58,3,0,-2.0,-5.6,4,1,3,0,1,0,14,0,0,,MIN,2026
19.0,Zyon Pullin,24.0,SG,5,0,43,89,11,0,0,0,6.5,3.0,3,0,4,0,1,0,23,0,2,,MIN,2026
20.0,Enrique Freeman,25.0,PF,4,0,37,0,0,6,94,0,32.1,28.9,0,1,4,0,1,0,4,0,1,,MIN,2026
21.0,Rocco Zikarsky,19.0,C,5,0,36,0,0,0,0,100,4.5,1.0,1,0,3,0,2,0,4,0,0,,MIN,2026
,Team Totals,,,82,82,19781,20,20,20,20,20,3.5,1.0,575,365,854,106,918,101,5205,208,338,,MIN,2026
