Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,CJ McCollum,31.0,PG,75,75,2649,15.6,0.541,0.404,0.177,2.4,11.7,7.0,25.1,1.3,1.4,11.2,26.4,1.5,2.8,4.3,0.078,1.5,-0.7,0.8,1.9,,NOP,2023
2.0,Trey Murphy III,22.0,SF,79,65,2448,15.2,0.65,0.621,0.238,2.7,10.3,6.5,6.4,1.8,1.7,6.5,16.6,4.8,2.8,7.6,0.15,1.4,0.4,1.8,2.3,,NOP,2023
3.0,Jonas ValanÄiÅ«nas,30.0,C,79,79,1968,19.3,0.61,0.134,0.275,13.0,33.3,23.1,11.1,0.5,2.5,14.8,23.4,2.8,3.0,5.8,0.142,0.0,-0.4,-0.4,0.8,,NOP,2023
4.0,Herbert Jones,24.0,PF,66,66,1951,12.1,0.567,0.333,0.321,5.6,10.0,7.8,11.1,2.6,2.1,13.3,14.5,1.5,2.7,4.2,0.104,-1.9,1.7,-0.3,0.8,,NOP,2023
5.0,Naji Marshall,25.0,SF,77,21,1792,11.4,0.539,0.382,0.306,3.0,14.6,8.8,14.4,1.5,0.7,13.0,17.8,0.5,2.0,2.5,0.068,-1.9,0.0,-1.9,0.1,,NOP,2023
6.0,Brandon Ingram,25.0,SF,45,45,1538,19.2,0.582,0.196,0.326,1.7,16.4,9.1,28.1,1.0,1.2,13.4,30.8,1.8,1.7,3.5,0.108,2.2,-0.4,1.7,1.5,,NOP,2023
7.0,Larry Nance Jr.,30.0,C,65,1,1381,16.0,0.649,0.138,0.259,8.7,20.3,14.5,11.7,2.0,2.6,11.0,11.9,2.8,2.1,4.9,0.171,0.0,2.0,2.0,1.4,,NOP,2023
8.0,Jose Alvarado,24.0,PG,61,10,1310,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,,NOP,2023
9.0,Dyson Daniels,19.0,PG,59,11,1042,8.8,0.503,0.413,0.192,3.9,16.5,10.2,16.4,2.0,1.0,20.2,11.6,-0.1,1.4,1.3,0.061,-3.4,1.6,-1.8,0.0,,NOP,2023
10.0,Zion Williamson,22.0,PF,29,29,956,25.2,0.652,0.041,0.529,6.9,17.0,12.0,24.4,1.6,1.6,14.6,30.4,2.3,1.2,3.6,0.18,4.8,1.0,5.8,1.9,AS,NOP,2023
11.0,Devonte' Graham,27.0,PG,53,0,811,11.8,0.545,0.823,0.255,1.7,8.4,5.0,18.7,1.8,1.2,9.5,15.0,0.9,0.9,1.8,0.105,-0.4,0.6,0.2,0.4,,NOP,2023
12.0,Jaxson Hayes,22.0,C,47,2,610,13.7,0.605,0.186,0.532,7.3,17.3,12.3,7.7,1.6,3.0,13.9,15.7,0.6,0.9,1.5,0.118,-2.2,1.0,-1.2,0.1,,NOP,2023
13.0,Josh Richardson,29.0,SG,23,4,533,9.9,0.55,0.581,0.142,2.3,9.6,6.0,9.2,2.6,1.6,12.8,14.5,0.1,0.7,0.8,0.071,-2.9,1.5,-1.3,0.1,,NOP,2023
14.0,Willy HernangÃ³mez,28.0,C,38,2,458,20.7,0.61,0.065,0.615,14.4,30.1,22.3,10.7,1.8,2.7,15.4,23.8,0.8,0.8,1.6,0.171,-0.2,0.5,0.3,0.3,,NOP,2023
15.0,Kira Lewis Jr.,21.0,PG,25,0,235,14.5,0.584,0.386,0.25,2.4,13.5,8.0,14.0,2.1,0.8,9.3,19.7,0.3,0.3,0.6,0.122,-0.8,0.5,-0.3,0.1,,NOP,2023
16.0,Garrett Temple,36.0,SG,25,0,162,10.5,0.535,0.578,0.089,3.5,8.4,5.9,10.6,2.7,1.2,7.9,13.4,0.1,0.2,0.3,0.094,-2.5,1.6,-1.0,0.0,,NOP,2023
17.0,Dereon Seabron,22.0,SG,5,0,12,4.6,0.4,0.0,0.0,9.5,0.0,4.7,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,-0.034,-6.6,-4.7,-11.3,0.0,,NOP,2023
,Team Totals,,,82,82,19856,,0.582,0.344,0.279,,,,,,,,,20.9,25.2,46.1,0.112,-0.1,0.5,0.4,11.9,,NOP,2023
