Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,CJ McCollum,31.0,PG,75,75,2649,69,31,0,0,0,0.9,-3.5,102,38,81,17,107,9,1002,27,60,,NOP,2023
2.0,Trey Murphy III,22.0,SF,79,65,2448,0,7,62,32,0,0.6,-4.0,27,15,96,11,73,16,261,22,23,,NOP,2023
3.0,Jonas ValanÄiÅ«nas,30.0,C,79,79,1968,0,0,0,0,100,-0.5,-5.1,34,46,123,53,108,1,321,24,47,,NOP,2023
4.0,Herbert Jones,24.0,PF,66,66,1951,0,0,22,76,2,3.8,3.2,40,13,105,14,76,35,386,18,33,,NOP,2023
5.0,Naji Marshall,25.0,SF,77,21,1792,0,22,65,13,0,1.1,-1.9,56,15,63,10,82,5,445,24,39,,NOP,2023
6.0,Brandon Ingram,25.0,SF,45,45,1538,0,72,28,1,0,3.1,1.6,62,42,61,21,117,11,654,29,36,,NOP,2023
7.0,Larry Nance Jr.,30.0,C,65,1,1381,0,0,0,19,81,7.8,8.8,17,7,57,15,35,15,281,9,14,,NOP,2023
8.0,Jose Alvarado,24.0,PG,61,10,1310,100,0,0,0,0,4.7,3.9,46,20,61,6,33,15,430,5,30,,NOP,2023
9.0,Dyson Daniels,19.0,PG,59,11,1042,17,57,26,0,0,0.5,-2.3,38,10,58,6,13,6,314,6,10,,NOP,2023
10.0,Zion Williamson,22.0,PF,29,29,956,0,0,0,95,5,7.3,6.9,34,41,31,14,127,2,344,35,44,AS,NOP,2023
11.0,Devonte' Graham,27.0,PG,53,0,811,54,46,0,0,0,1.2,-1.1,17,4,26,3,25,5,265,4,7,,NOP,2023
12.0,Jaxson Hayes,22.0,C,47,2,610,0,0,0,46,54,-5.2,-8.7,17,2,37,8,39,3,92,8,8,,NOP,2023
13.0,Josh Richardson,29.0,SG,23,4,533,4,86,9,2,0,-1.7,-4.4,12,5,29,1,10,6,87,3,2,,NOP,2023
14.0,Willy HernangÃ³mez,28.0,C,38,2,458,0,0,0,0,100,2.2,0.1,7,9,38,14,46,3,83,7,18,,NOP,2023
15.0,Kira Lewis Jr.,21.0,PG,25,0,235,88,12,0,0,0,11.0,9.4,5,3,10,1,9,0,54,2,9,,NOP,2023
16.0,Garrett Temple,36.0,SG,25,0,162,0,22,78,1,0,-3.0,-5.4,3,0,9,0,2,0,29,0,2,,NOP,2023
17.0,Dereon Seabron,22.0,SG,5,0,12,0,0,55,45,0,45.5,43.5,0,0,1,0,0,0,0,0,1,,NOP,2023
,Team Totals,,,82,82,19856,20,20,20,20,20,2.1,-0.5,517,270,886,194,902,132,5048,223,383,,NOP,2023
