No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",us US,1,Georgia Tech,NOP,2023
11,Dyson Daniels,PG,6-7,199,"March 17, 2003",au AU,R,,NOP,2023
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us US,4,Kansas,NOP,2023
10,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,3,Texas,NOP,2023
9,Willy HernangÃ³mez,C,6-11,250,"May 27, 1994",es ES,6,,NOP,2023
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us US,6,Duke,NOP,2023
5,Herbert Jones,PF,6-7,206,"October 6, 1998",us US,1,Alabama,NOP,2023
13,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us US,2,Alabama,NOP,2023
8,Naji Marshall,SF,6-6,220,"January 24, 1998",us US,2,Xavier,NOP,2023
3,CJ McCollum,PG,6-3,190,"September 19, 1991",us US,9,Lehigh,NOP,2023
25,Trey Murphy III,SF,6-8,206,"June 18, 2000",us US,1,"Rice University, Virginia",NOP,2023
22,Larry Nance Jr.,C,6-6,245,"January 1, 1993",us US,7,Wyoming,NOP,2023
2,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,7,Tennessee,NOP,2023
0,Dereon Seabron,SG,6-5,180,"May 26, 2000",us US,R,NC State,NOP,2023
41,Garrett Temple,SG,6-5,195,"May 8, 1986",us US,12,LSU,NOP,2023
17,Jonas ValanÄiÅ«nas,C,6-11,265,"May 6, 1992",lt LT,10,,NOP,2023
1,Zion Williamson,PF,6-6,284,"July 6, 2000",us US,2,Duke,NOP,2023
