Rk,Unnamed: 1,Salary,Team,Season
1,CJ McCollum,"$35,802,469",NOP,2024
2,Zion Williamson,"$34,005,250",NOP,2024
3,Brandon Ingram,"$33,833,400",NOP,2024
4,Jonas ValanÄiÅ«nas,"$15,435,000",NOP,2024
5,Herbert Jones,"$12,015,150",NOP,2024
6,Larry Nance,"$10,375,000",NOP,2024
7,Dyson Daniels,"$5,784,120",NOP,2024
8,Jordan Hawkins,"$4,310,160",NOP,2024
9,Trey Murphy,"$3,359,280",NOP,2024
10,Cody Zeller,"$2,019,706",NOP,2024
11,Naji Marshall,"$1,930,681",NOP,2024
12,Jose Alvarado,"$1,836,096",NOP,2024
13,E.J. Liddell,"$1,801,769",NOP,2024
14,Matt Ryan,"$1,500,000",NOP,2024
15,Jeremiah Robinson-Earl,"$684,843",NOP,2024
16,Malcolm Hill,"$116,075",NOP,2024
17,Jalen Crutcher,"$64,343",NOP,2024
18,Izaiah Brockington,"$64,343",NOP,2024
19,Kaiser Gates,,NOP,2024
20,Jeremiah Robinson-Earl,,NOP,2024
21,Dereon Seabron,,NOP,2024
22,Malcolm Hill,,NOP,2024
23,Matt Ryan,,NOP,2024
