Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Julius Randle,26.0,PF,71,71,2667,19.7,0.567,0.294,0.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9,"MVP-8,MIP-1,AS,NBA2",NYK,2021
2.0,RJ Barrett,20.0,SG,72,72,2511,13.4,0.535,0.292,0.26,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5,,NYK,2021
3.0,Reggie Bullock,29.0,SF,65,64,1949,11.1,0.606,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,0.114,-0.9,0.8,-0.1,0.9,,NYK,2021
4.0,Nerlens Noel,26.0,C,64,41,1547,14.8,0.638,0.013,0.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,1.6,3.6,5.2,0.162,-2.4,3.8,1.4,1.3,,NYK,2021
5.0,Elfrid Payton,26.0,PG,63,63,1484,11.7,0.478,0.158,0.172,4.7,11.0,7.9,21.6,1.6,0.6,13.3,23.2,-0.9,1.9,1.0,0.032,-2.9,-0.1,-3.0,-0.4,,NYK,2021
6.0,Alec Burks,29.0,SG,49,5,1255,14.8,0.564,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.5,1.8,3.3,0.126,0.9,0.6,1.5,1.1,,NYK,2021
7.0,Immanuel Quickley,21.0,PG,64,3,1243,15.8,0.557,0.522,0.3,2.2,9.7,6.0,16.2,1.2,0.9,8.1,25.6,1.8,1.4,3.2,0.125,1.4,-0.5,0.9,0.9,,NYK,2021
8.0,Derrick Rose,32.0,PG,35,3,937,18.8,0.565,0.211,0.18,1.6,10.0,5.9,26.3,1.7,1.5,9.6,24.3,1.5,1.2,2.8,0.142,1.9,0.5,2.4,1.0,"MVP-9,6MOY-3",NYK,2021
9.0,Taj Gibson,35.0,C,45,3,936,16.0,0.661,0.095,0.348,11.6,17.3,14.5,5.4,1.7,5.0,10.8,9.7,2.1,1.7,3.8,0.195,-0.7,2.1,1.3,0.8,,NYK,2021
10.0,Mitchell Robinson,22.0,C,31,29,853,17.7,0.642,0.0,0.301,14.5,17.5,16.0,2.9,2.1,5.0,11.5,11.8,1.8,1.7,3.4,0.192,-0.3,1.5,1.2,0.7,,NYK,2021
11.0,Obi Toppin,22.0,PF,62,0,683,12.7,0.574,0.407,0.124,4.2,17.6,11.0,6.4,1.2,2.1,9.4,15.9,0.5,1.0,1.5,0.109,-1.4,0.7,-0.7,0.2,,NYK,2021
12.0,Kevin Knox,21.0,SF,42,0,464,9.1,0.537,0.622,0.14,2.4,11.8,7.1,5.9,1.3,1.2,10.1,16.2,0.0,0.6,0.6,0.065,-1.7,0.4,-1.4,0.1,,NYK,2021
13.0,Austin Rivers,28.0,SG,21,2,442,9.5,0.545,0.57,0.104,1.2,10.2,5.8,13.9,1.4,0.0,13.5,16.5,0.1,0.5,0.6,0.063,-2.4,0.2,-2.2,0.0,,NYK,2021
14.0,Frank Ntilikina,22.0,PG,33,4,322,7.7,0.512,0.608,0.228,2.0,8.3,5.2,8.1,2.8,1.2,11.2,13.6,0.0,0.5,0.5,0.07,-4.2,2.5,-1.7,0.0,,NYK,2021
15.0,Norvel Pelle,27.0,C,9,0,52,15.3,0.698,0.0,0.286,4.2,18.6,11.5,2.7,1.0,11.0,0.0,6.8,0.1,0.1,0.2,0.189,-1.1,3.7,2.5,0.1,,NYK,2021
16.0,Theo Pinson,25.0,SG,17,0,34,-8.1,0.111,0.889,0.0,0.0,15.8,8.0,3.7,0.0,0.0,10.0,13.1,-0.2,0.0,-0.1,-0.205,-13.2,-2.5,-15.7,-0.1,,NYK,2021
17.0,Dennis Smith Jr.,23.0,PG,3,0,28,6.8,0.356,0.4,0.6,0.0,7.7,3.9,14.4,5.4,0.0,7.3,21.7,-0.1,0.1,0.0,-0.015,-8.5,4.7,-3.8,0.0,,NYK,2021
18.0,Jared Harper,23.0,PG,8,0,16,-10.8,0.26,0.25,1.0,0.0,13.4,6.8,7.7,0.0,0.0,34.2,24.4,-0.1,0.0,-0.1,-0.365,-16.6,-5.5,-22.1,-0.1,,NYK,2021
19.0,Ignas Brazdeikis,22.0,SF,4,0,7,11.2,0.532,0.0,2.0,15.7,15.3,15.5,17.5,0.0,0.0,34.7,18.3,0.0,0.0,0.0,0.039,-2.9,-1.2,-4.1,0.0,,NYK,2021
,Team Totals,,,72,72,17430,,0.559,0.347,0.242,,,,,,,,,16.4,25.9,42.4,0.117,-0.3,0.8,0.5,11.0,,NYK,2021
