Rk,Unnamed: 1,Salary,Team,Season
1,Julius Randle,"$19,800,000",NYK,2022
2,Evan Fournier,"$17,142,857",NYK,2022
3,Derrick Rose,"$13,445,120",NYK,2022
4,Alec Burks,"$9,536,000",NYK,2022
5,Nerlens Noel,"$8,800,000",NYK,2022
6,Kemba Walker,"$8,729,020",NYK,2022
7,RJ Barrett,"$8,623,920",NYK,2022
8,Joakim Noah,"$6,431,666",NYK,2022
9,Obi Toppin,"$5,105,160",NYK,2022
10,Taj Gibson,"$4,910,000",NYK,2022
11,Cam Reddish,"$4,670,160",NYK,2022
12,Solomon Hill,"$2,389,641",NYK,2022
13,Immanuel Quickley,"$2,210,640",NYK,2022
14,Quentin Grimes,"$2,168,760",NYK,2022
15,Mitchell Robinson,"$1,802,057",NYK,2022
16,Miles McBride,"$925,258",NYK,2022
17,Denzel Valentine,"$902,801",NYK,2022
18,Ryan Arcidiacono,"$791,798",NYK,2022
19,Wayne Selden,"$785,102",NYK,2022
20,Damyean Dotson,"$205,662",NYK,2022
21,Matt Mooney,"$171,156",NYK,2022
22,Danuel House,"$111,457",NYK,2022
23,Tyler Hall,"$53,176",NYK,2022
24,Feron Hunt,$0,NYK,2022
25,Luka Å amaniÄ,$0,NYK,2022
26,Jericho Sims,$0,NYK,2022
