G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 20, 2021",9:00p,,Box Score,@,Utah Jazz,L,,86,107,0,1,L 1,18306,2:04,,OKC,2022
2,"Fri, Oct 22, 2021",8:00p,,Box Score,@,Houston Rockets,L,,91,124,0,2,L 2,15674,2:02,,OKC,2022
3,"Sun, Oct 24, 2021",7:00p,,Box Score,,Philadelphia 76ers,L,,103,115,0,3,L 3,14256,2:06,,OKC,2022
4,"Tue, Oct 26, 2021",8:00p,,Box Score,,Golden State Warriors,L,,98,106,0,4,L 4,,2:11,,OKC,2022
5,"Wed, Oct 27, 2021",8:00p,,Box Score,,Los Angeles Lakers,W,,123,115,1,4,W 1,15783,2:25,,OKC,2022
6,"Sat, Oct 30, 2021",8:30p,,Box Score,@,Golden State Warriors,L,,82,103,1,5,L 1,18064,2:02,,OKC,2022
7,"Mon, Nov 1, 2021",10:30p,,Box Score,@,Los Angeles Clippers,L,,94,99,1,6,L 2,13722,2:14,,OKC,2022
8,"Thu, Nov 4, 2021",10:30p,,Box Score,@,Los Angeles Lakers,W,,107,104,2,6,W 1,18997,2:15,,OKC,2022
9,"Sun, Nov 7, 2021",7:00p,,Box Score,,San Antonio Spurs,W,,99,94,3,6,W 2,12972,2:02,,OKC,2022
10,"Wed, Nov 10, 2021",8:00p,,Box Score,@,New Orleans Pelicans,W,,108,100,4,6,W 3,15355,2:24,,OKC,2022
11,"Fri, Nov 12, 2021",8:00p,,Box Score,,Sacramento Kings,W,,105,103,5,6,W 4,12881,2:08,,OKC,2022
12,"Sun, Nov 14, 2021",7:00p,,Box Score,,Brooklyn Nets,L,,96,120,5,7,L 1,15080,2:01,,OKC,2022
13,"Mon, Nov 15, 2021",8:00p,,Box Score,,Miami Heat,L,,90,103,5,8,L 2,12330,2:05,,OKC,2022
14,"Wed, Nov 17, 2021",8:00p,,Box Score,,Houston Rockets,W,,101,89,6,8,W 1,12066,2:09,,OKC,2022
15,"Fri, Nov 19, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,89,96,6,9,L 1,17341,2:11,,OKC,2022
16,"Sat, Nov 20, 2021",7:30p,,Box Score,@,Boston Celtics,L,,105,111,6,10,L 2,19156,1:58,,OKC,2022
17,"Mon, Nov 22, 2021",7:30p,,Box Score,@,Atlanta Hawks,L,,101,113,6,11,L 3,15806,1:58,,OKC,2022
18,"Wed, Nov 24, 2021",8:00p,,Box Score,,Utah Jazz,L,,104,110,6,12,L 4,14081,2:08,,OKC,2022
19,"Fri, Nov 26, 2021",8:00p,,Box Score,,Washington Wizards,L,,99,101,6,13,L 5,14579,2:06,,OKC,2022
20,"Mon, Nov 29, 2021",8:00p,,Box Score,@,Houston Rockets,L,,89,102,6,14,L 6,12829,2:04,,OKC,2022
21,"Wed, Dec 1, 2021",8:00p,,Box Score,,Houston Rockets,L,,110,114,6,15,L 7,13222,2:19,,OKC,2022
22,"Thu, Dec 2, 2021",8:00p,,Box Score,@,Memphis Grizzlies,L,,79,152,6,16,L 8,13103,1:58,,OKC,2022
23,"Mon, Dec 6, 2021",7:00p,,Box Score,@,Detroit Pistons,W,,114,103,7,16,W 1,10522,2:12,,OKC,2022
24,"Wed, Dec 8, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,110,109,8,16,W 2,19800,2:05,,OKC,2022
25,"Fri, Dec 10, 2021",8:00p,,Box Score,,Los Angeles Lakers,L,,95,116,8,17,L 1,16523,2:05,,OKC,2022
26,"Sun, Dec 12, 2021",7:00p,,Box Score,,Dallas Mavericks,L,,84,103,8,18,L 2,15747,2:04,,OKC,2022
27,"Wed, Dec 15, 2021",8:00p,,Box Score,,New Orleans Pelicans,L,,110,113,8,19,L 3,13253,2:26,,OKC,2022
28,"Sat, Dec 18, 2021",8:00p,,Box Score,,Los Angeles Clippers,W,,104,103,9,19,W 1,15123,2:09,,OKC,2022
29,"Mon, Dec 20, 2021",8:00p,,Box Score,@,Memphis Grizzlies,W,,102,99,10,19,W 2,15721,2:17,,OKC,2022
30,"Wed, Dec 22, 2021",8:00p,,Box Score,,Denver Nuggets,W,,108,94,11,19,W 3,14932,2:07,,OKC,2022
31,"Thu, Dec 23, 2021",9:00p,,Box Score,@,Phoenix Suns,L,,101,113,11,20,L 1,17071,2:06,,OKC,2022
32,"Sun, Dec 26, 2021",7:00p,,Box Score,,New Orleans Pelicans,W,,117,112,12,20,W 1,15608,2:19,,OKC,2022
33,"Tue, Dec 28, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,111,117,12,21,L 1,14750,2:16,,OKC,2022
34,"Wed, Dec 29, 2021",9:00p,,Box Score,@,Phoenix Suns,L,,97,115,12,22,L 2,17071,2:09,,OKC,2022
35,"Fri, Dec 31, 2021",8:00p,,Box Score,,New York Knicks,W,,95,80,13,22,W 1,16451,1:54,,OKC,2022
36,"Sun, Jan 2, 2022",7:00p,,Box Score,,Dallas Mavericks,L,,86,95,13,23,L 1,14751,1:57,,OKC,2022
37,"Wed, Jan 5, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,,90,98,13,24,L 2,14375,2:05,,OKC,2022
38,"Fri, Jan 7, 2022",8:00p,,Box Score,,Minnesota Timberwolves,L,,105,135,13,25,L 3,14874,2:14,,OKC,2022
39,"Sun, Jan 9, 2022",7:00p,,Box Score,,Denver Nuggets,L,,95,99,13,26,L 4,14772,2:02,,OKC,2022
40,"Tue, Jan 11, 2022",7:00p,,Box Score,@,Washington Wizards,L,,118,122,13,27,L 5,13985,2:12,,OKC,2022
41,"Thu, Jan 13, 2022",8:30p,,Box Score,@,Brooklyn Nets,W,,130,109,14,27,W 1,16964,2:09,,OKC,2022
42,"Sat, Jan 15, 2022",8:00p,,Box Score,,Cleveland Cavaliers,L,,102,107,14,28,L 1,15284,2:35,,OKC,2022
43,"Mon, Jan 17, 2022",8:30p,,Box Score,@,Dallas Mavericks,L,,102,104,14,29,L 2,19266,2:12,,OKC,2022
44,"Wed, Jan 19, 2022",8:30p,,Box Score,@,San Antonio Spurs,L,,96,118,14,30,L 3,11848,2:05,,OKC,2022
45,"Fri, Jan 21, 2022",7:00p,,Box Score,@,Charlotte Hornets,L,,98,121,14,31,L 4,15835,2:05,,OKC,2022
46,"Sat, Jan 22, 2022",8:00p,,Box Score,@,Cleveland Cavaliers,L,,87,94,14,32,L 5,19432,2:28,,OKC,2022
47,"Mon, Jan 24, 2022",8:00p,,Box Score,,Chicago Bulls,L,,110,111,14,33,L 6,14378,2:17,,OKC,2022
48,"Fri, Jan 28, 2022",8:00p,,Box Score,,Indiana Pacers,L,OT,110,113,14,34,L 7,15106,2:32,,OKC,2022
49,"Mon, Jan 31, 2022",8:00p,,Box Score,,Portland Trail Blazers,W,,98,81,15,34,W 1,13812,2:01,,OKC,2022
50,"Wed, Feb 2, 2022",8:30p,,Box Score,@,Dallas Mavericks,W,OT,120,114,16,34,W 2,19200,2:21,,OKC,2022
51,"Fri, Feb 4, 2022",10:00p,,Box Score,@,Portland Trail Blazers,W,,96,93,17,34,W 3,15329,2:12,,OKC,2022
52,"Sat, Feb 5, 2022",10:00p,,Box Score,@,Sacramento Kings,L,,103,113,17,35,L 1,14097,2:05,,OKC,2022
53,"Mon, Feb 7, 2022",8:00p,,Box Score,,Golden State Warriors,L,,98,110,17,36,L 2,17009,2:08,,OKC,2022
54,"Wed, Feb 9, 2022",8:00p,,Box Score,,Toronto Raptors,L,,98,117,17,37,L 3,13858,1:57,,OKC,2022
55,"Fri, Feb 11, 2022",7:00p,,Box Score,@,Philadelphia 76ers,L,,87,100,17,38,L 4,20669,2:05,,OKC,2022
56,"Sat, Feb 12, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,101,106,17,39,L 5,20072,2:15,,OKC,2022
57,"Mon, Feb 14, 2022",7:30p,,Box Score,@,New York Knicks,W,OT,127,123,18,39,W 1,18433,2:31,,OKC,2022
58,"Wed, Feb 16, 2022",8:00p,,Box Score,,San Antonio Spurs,L,,106,114,18,40,L 1,14920,2:14,,OKC,2022
59,"Thu, Feb 24, 2022",8:00p,,Box Score,,Phoenix Suns,L,,104,124,18,41,L 2,14176,1:58,,OKC,2022
60,"Fri, Feb 25, 2022",7:00p,,Box Score,@,Indiana Pacers,W,OT,129,125,19,41,W 1,15182,2:26,,OKC,2022
61,"Mon, Feb 28, 2022",8:00p,,Box Score,,Sacramento Kings,L,,110,131,19,42,L 1,13945,2:10,,OKC,2022
62,"Wed, Mar 2, 2022",9:00p,,Box Score,@,Denver Nuggets,W,,119,107,20,42,W 1,15167,2:03,,OKC,2022
63,"Fri, Mar 4, 2022",8:00p,,Box Score,,Minnesota Timberwolves,L,,101,138,20,43,L 1,15180,2:06,,OKC,2022
64,"Sun, Mar 6, 2022",7:00p,,Box Score,,Utah Jazz,L,,103,116,20,44,L 2,15079,2:06,,OKC,2022
65,"Tue, Mar 8, 2022",8:00p,,Box Score,,Milwaukee Bucks,L,,115,142,20,45,L 3,15743,2:08,,OKC,2022
66,"Wed, Mar 9, 2022",8:00p,,Box Score,@,Minnesota Timberwolves,L,,102,132,20,46,L 4,16191,2:06,,OKC,2022
67,"Sun, Mar 13, 2022",7:00p,,Box Score,,Memphis Grizzlies,L,,118,125,20,47,L 5,17482,2:19,,OKC,2022
68,"Mon, Mar 14, 2022",8:00p,,Box Score,,Charlotte Hornets,L,,116,134,20,48,L 6,15810,2:08,,OKC,2022
69,"Wed, Mar 16, 2022",8:30p,,Box Score,@,San Antonio Spurs,L,,120,122,20,49,L 7,14994,2:12,,OKC,2022
70,"Fri, Mar 18, 2022",8:00p,,Box Score,@,Miami Heat,L,,108,120,20,50,L 8,19600,2:01,,OKC,2022
71,"Sun, Mar 20, 2022",6:00p,,Box Score,@,Orlando Magic,L,,85,90,20,51,L 9,15012,2:09,,OKC,2022
72,"Mon, Mar 21, 2022",8:00p,,Box Score,,Boston Celtics,L,,123,132,20,52,L 10,15345,2:12,,OKC,2022
73,"Wed, Mar 23, 2022",8:00p,,Box Score,,Orlando Magic,W,,118,102,21,52,W 1,14393,2:12,,OKC,2022
74,"Sat, Mar 26, 2022",9:00p,,Box Score,@,Denver Nuggets,L,,107,113,21,53,L 1,19520,2:07,,OKC,2022
75,"Mon, Mar 28, 2022",10:00p,,Box Score,@,Portland Trail Blazers,W,OT,134,131,22,53,W 1,18188,2:26,,OKC,2022
76,"Wed, Mar 30, 2022",8:00p,,Box Score,,Atlanta Hawks,L,,118,136,22,54,L 1,15595,2:02,,OKC,2022
77,"Fri, Apr 1, 2022",8:00p,,Box Score,,Detroit Pistons,L,,101,110,22,55,L 2,16961,2:03,,OKC,2022
78,"Sun, Apr 3, 2022",7:00p,,Box Score,,Phoenix Suns,W,,117,96,23,55,W 1,17078,2:02,,OKC,2022
79,"Tue, Apr 5, 2022",8:00p,,Box Score,,Portland Trail Blazers,W,,98,94,24,55,W 2,14674,2:01,,OKC,2022
80,"Wed, Apr 6, 2022",9:00p,,Box Score,@,Utah Jazz,L,,101,137,24,56,L 1,18306,2:07,,OKC,2022
81,"Fri, Apr 8, 2022",10:30p,,Box Score,@,Los Angeles Lakers,L,,101,120,24,57,L 2,18997,2:08,,OKC,2022
82,"Sun, Apr 10, 2022",9:30p,,Box Score,@,Los Angeles Clippers,L,,88,138,24,58,L 3,18210,1:54,,OKC,2022
