No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
7,Darius Bazley,PF,6-9,216,"June 12, 2000",us US,2,,OKC,2022
6,Gabriel Deck,PF,6-6,231,"February 8, 1995",ar AR,1,,OKC,2022
12,Mamadi Diakite,PF,6-9,228,"January 21, 1997",gn GN,1,Virginia,OKC,2022
5,Luguentz Dort,SG,6-4,220,"April 19, 1999",ca CA,2,Arizona State,OKC,2022
25,Rob Edwards,SG,6-5,205,"January 20, 1997",us US,R,"Cleveland State University, Arizona State",OKC,2022
15,Derrick Favors,C,6-9,265,"July 15, 1991",us US,11,Georgia Tech,OKC,2022
6,Melvin Frazier,SG,6-6,210,"August 30, 1996",us US,2,Tulane,OKC,2022
3,Josh Giddey,SF,6-7,216,"October 10, 2002",au AU,R,,OKC,2022
2,Shai Gilgeous-Alexander,PG,6-6,195,"July 12, 1998",ca CA,3,Kentucky,OKC,2022
14,Jaylen Hoard,SF,6-8,216,"March 30, 1999",fr FR,2,Wake Forest,OKC,2022
55,Scotty Hopson,SG,6-7,215,"August 8, 1989",us US,2,Tennessee,OKC,2022
16,Ty Jerome,SG,6-5,195,"July 8, 1997",us US,2,Virginia,OKC,2022
18,Georgios Kalaitzakis,SF,6-8,192,"January 2, 1999",gr GR,R,,OKC,2022
27,VÃ­t KrejÄÃ­,SG,6-8,195,"June 19, 2000",cz CZ,R,,OKC,2022
11,ThÃ©o Maledon,PG,6-4,175,"June 12, 2001",fr FR,1,,OKC,2022
23,Tre Mann,PG,6-4,178,"February 3, 2001",us US,R,Florida,OKC,2022
33,Mike Muscala,C,6-10,240,"July 1, 1991",us US,8,Bucknell,OKC,2022
17,Aleksej Pokusevski,PF,7-0,210,"December 26, 2001",rs RS,1,,OKC,2022
50,Jeremiah Robinson-Earl,C,6-9,240,"November 3, 2000",us US,R,Villanova,OKC,2022
22,Isaiah Roby,PF,6-6,230,"February 3, 1998",us US,2,Nebraska,OKC,2022
30,Olivier Sarr,C,6-10,240,"February 20, 1999",fr FR,R,"Wake Forest, Kentucky",OKC,2022
9,Zavier Simpson,PG,6-0,190,"February 11, 1997",us US,R,Michigan,OKC,2022
12,Lindy Waters III,SG,6-5,210,"July 28, 1997",us US,R,Oklahoma State,OKC,2022
8,Paul Watson,SF,6-6,210,"December 30, 1994",us US,2,Fresno State,OKC,2022
21,Aaron Wiggins,SG,6-5,190,"January 2, 1999",us US,R,Maryland,OKC,2022
34,Kenrich Williams,SF,6-7,210,"December 2, 1994",us US,3,TCU,OKC,2022
