Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Shai Gilgeous-Alexander,24.0,PG,68,68,2416,27.2,0.626,0.122,0.535,2.6,12.2,7.3,25.7,2.2,2.5,10.1,32.8,8.4,3.0,11.4,0.226,5.7,1.5,7.3,5.6,"MVP-5,CPOY-7,AS,NBA1",OKC,2023
2.0,Josh Giddey,20.0,PF,76,76,2367,17.1,0.533,0.209,0.13,6.6,20.9,13.6,29.9,1.1,1.2,15.1,24.6,1.3,2.7,4.0,0.081,1.5,-0.3,1.2,1.9,,OKC,2023
3.0,Jalen Williams,21.0,SG,75,62,2276,15.6,0.601,0.258,0.241,3.9,12.2,7.9,15.4,2.1,1.4,12.3,18.4,3.0,2.6,5.6,0.119,-0.4,0.7,0.3,1.3,ROY-2,OKC,2023
4.0,Luguentz Dort,23.0,SF,74,73,2272,11.3,0.513,0.468,0.297,5.9,10.4,8.1,9.2,1.6,0.9,8.5,19.8,0.9,2.1,2.9,0.062,-2.0,-1.0,-3.0,-0.6,,OKC,2023
5.0,Isaiah Joe,23.0,SG,73,10,1395,14.5,0.626,0.776,0.197,2.0,11.6,6.7,8.7,1.6,0.5,6.6,17.7,2.5,1.3,3.8,0.131,1.3,-0.4,0.9,1.0,,OKC,2023
6.0,Aaron Wiggins,24.0,SG,70,14,1297,12.2,0.607,0.336,0.196,5.5,12.0,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,2.6,0.097,-1.5,-0.5,-2.1,0.0,,OKC,2023
7.0,Kenrich Williams,28.0,PF,53,10,1206,14.4,0.585,0.387,0.113,8.5,14.9,11.6,11.7,1.8,1.1,8.1,13.7,2.0,1.3,3.3,0.133,0.1,0.4,0.5,0.8,,OKC,2023
8.0,Tre Mann,21.0,PG,67,5,1183,10.0,0.492,0.513,0.11,2.4,11.8,7.0,14.0,1.6,0.9,10.6,20.7,-0.6,1.1,0.5,0.021,-3.0,-1.0,-3.9,-0.6,,OKC,2023
9.0,Jaylin Williams,20.0,C,49,36,914,11.2,0.559,0.483,0.231,5.1,23.6,14.1,10.7,1.5,1.2,12.6,13.5,0.7,1.2,1.9,0.099,-2.3,0.6,-1.7,0.1,,OKC,2023
10.0,Jeremiah Robinson-Earl,22.0,PF,43,20,814,13.0,0.548,0.448,0.169,9.2,14.7,11.9,7.0,1.4,1.2,6.7,14.6,1.1,0.8,1.9,0.111,-0.8,-0.7,-1.5,0.1,,OKC,2023
11.0,Aleksej Pokusevski,21.0,PF,34,25,701,13.4,0.522,0.418,0.141,6.8,17.8,12.2,12.4,1.4,5.7,14.0,18.3,0.0,1.0,1.0,0.066,-1.0,1.0,0.0,0.3,,OKC,2023
12.0,Mike Muscala,31.0,C,43,5,622,13.8,0.602,0.7,0.192,3.9,19.7,11.6,8.2,0.8,2.8,6.0,15.7,1.0,0.7,1.7,0.134,0.3,-0.1,0.1,0.3,,OKC,2023
13.0,Ousmane Dieng,19.0,PF,39,1,569,9.3,0.505,0.541,0.127,3.5,16.5,9.9,10.7,1.2,1.1,12.0,15.9,-0.1,0.6,0.4,0.038,-3.1,-0.5,-3.6,-0.2,,OKC,2023
14.0,Darius Bazley,22.0,C,36,1,555,12.9,0.525,0.285,0.411,5.5,18.3,11.8,7.6,1.6,4.8,10.5,15.7,0.1,0.8,0.9,0.079,-1.8,0.8,-1.0,0.1,,OKC,2023
15.0,Lindy Waters III,25.0,SG,41,0,531,11.8,0.573,0.91,0.112,3.2,12.2,7.6,7.0,1.3,1.9,5.1,15.5,0.6,0.5,1.1,0.101,0.5,-0.4,0.1,0.3,,OKC,2023
16.0,Dario Å ariÄ,28.0,C,20,0,273,15.9,0.65,0.465,0.323,5.4,20.5,12.8,8.9,1.2,0.7,14.4,20.2,0.4,0.3,0.7,0.127,0.1,-0.2,-0.2,0.1,,OKC,2023
17.0,Eugene Omoruyi,25.0,SF,23,2,272,10.6,0.531,0.33,0.298,8.5,12.1,10.3,5.6,2.4,0.0,13.1,18.8,0.0,0.3,0.3,0.052,-4.4,-0.5,-4.9,-0.2,,OKC,2023
18.0,Olivier Sarr,23.0,C,9,1,114,11.5,0.544,0.267,0.233,11.1,18.2,14.6,4.6,0.4,4.1,10.8,13.6,0.1,0.1,0.2,0.094,-4.2,-0.7,-4.9,-0.1,,OKC,2023
19.0,Jared Butler,22.0,PG,6,1,77,13.0,0.578,0.438,0.0,1.4,4.3,2.8,15.0,3.1,0.0,13.5,20.1,0.0,0.1,0.1,0.061,-2.2,-0.4,-2.6,0.0,,OKC,2023
,Team Totals,,,82,82,19854,,0.57,0.369,0.256,,,,,,,,,22.8,21.7,44.5,0.108,0.0,0.0,0.1,10.3,,OKC,2023
