Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Shai Gilgeous-Alexander,24.0,PG,68,68,2416,84,17,0,0,0,3.1,4.9,84,64,78,30,322,15,942,57,97,"MVP-5,CPOY-7,AS,NBA1",OKC,2023
2.0,Josh Giddey,20.0,PF,76,76,2367,0,1,17,67,15,-2.7,-9.5,127,57,85,12,81,1,1119,31,83,,OKC,2023
3.0,Jalen Williams,21.0,SG,75,62,2276,9,71,20,1,0,-0.3,-3.3,42,41,99,16,99,20,604,25,52,ROY-2,OKC,2023
4.0,Luguentz Dort,23.0,SF,74,73,2272,0,17,61,21,1,1.0,-0.4,31,30,111,14,120,93,365,23,53,,OKC,2023
5.0,Isaiah Joe,23.0,SG,73,10,1395,36,54,11,0,0,4.8,5.6,23,13,55,1,36,34,216,8,11,,OKC,2023
6.0,Aaron Wiggins,24.0,SG,70,14,1297,4,39,47,9,0,2.4,1.8,23,20,65,5,40,6,199,11,33,,OKC,2023
7.0,Kenrich Williams,28.0,PF,53,10,1206,0,8,39,43,10,4.7,5.1,11,10,60,7,21,35,255,5,13,,OKC,2023
8.0,Tre Mann,21.0,PG,67,5,1183,100,0,0,0,0,0.7,-0.7,26,19,55,5,28,8,297,9,16,,OKC,2023
9.0,Jaylin Williams,20.0,C,49,36,914,0,0,0,0,100,-3.8,-6.5,17,4,64,13,26,48,185,4,17,,OKC,2023
10.0,Jeremiah Robinson-Earl,22.0,PF,43,20,814,0,0,10,42,47,0.1,-1.4,6,5,46,2,22,2,104,2,13,,OKC,2023
11.0,Aleksej Pokusevski,21.0,PF,34,25,701,0,0,1,21,79,-13.0,-17.3,22,10,38,2,15,1,151,1,8,,OKC,2023
12.0,Mike Muscala,31.0,C,43,5,622,0,0,0,0,100,9.5,9.9,5,1,37,8,14,3,89,1,8,,OKC,2023
13.0,Ousmane Dieng,19.0,PF,39,1,569,0,0,8,71,20,3.9,3.2,10,8,26,2,12,0,107,3,8,,OKC,2023
14.0,Darius Bazley,22.0,C,36,1,555,0,0,0,15,85,-0.1,-1.4,10,6,17,1,35,3,80,5,24,,OKC,2023
15.0,Lindy Waters III,25.0,SG,41,0,531,1,20,54,24,0,10.0,10.1,3,4,31,0,7,1,72,0,3,,OKC,2023
16.0,Dario Å ariÄ,28.0,C,20,0,273,0,0,0,0,100,9.1,8.6,9,2,20,3,17,0,39,6,4,,OKC,2023
17.0,Eugene Omoruyi,25.0,SF,23,2,272,0,3,39,49,9,0.1,-1.2,6,4,21,5,11,9,26,2,7,,OKC,2023
18.0,Olivier Sarr,23.0,C,9,1,114,0,0,0,0,100,6.1,5.0,0,2,10,2,4,1,9,1,0,,OKC,2023
19.0,Jared Butler,22.0,PG,6,1,77,1,99,0,0,0,-1.3,-2.5,4,1,4,0,0,1,20,0,4,,OKC,2023
,Team Totals,,,82,82,19854,20,20,20,20,20,1.2,-0.4,459,301,922,128,910,281,4879,194,454,,OKC,2023
