Rk,Unnamed: 1,Salary,Team,Season
1,Gary Harris,"$20,482,143",ORL,2022
2,Jonathan Isaac,"$17,400,000",ORL,2022
3,Markelle Fultz,"$16,500,000",ORL,2022
4,Terrence Ross,"$12,500,000",ORL,2022
5,Mohamed Bamba,"$7,568,742",ORL,2022
6,Wendell Carter,"$6,920,027",ORL,2022
7,Jalen Suggs,"$6,592,920",ORL,2022
8,Timofey Mozgov,"$5,573,334",ORL,2022
9,Franz Wagner,"$5,007,840",ORL,2022
10,Robin Lopez,"$5,000,000",ORL,2022
11,Cole Anthony,"$3,449,400",ORL,2022
12,Michael Carter-Williams,"$3,300,000",ORL,2022
13,Chuma Okeke,"$3,277,080",ORL,2022
14,E'Twaun Moore,"$2,641,691",ORL,2022
15,R.J. Hampton,"$2,303,040",ORL,2022
16,Bol Bol,"$2,161,152",ORL,2022
17,PJ Dozier,"$1,910,860",ORL,2022
18,Moritz Wagner,"$1,729,217",ORL,2022
19,Tim Frazier,"$257,418",ORL,2022
20,Devin Cannady,"$185,578",ORL,2022
21,Freddie Gillespie,"$171,156",ORL,2022
22,Admiral Schofield,"$171,156",ORL,2022
23,Hassani Gravett,"$106,352",ORL,2022
24,B.J. Johnson,"$95,930",ORL,2022
25,Aleem Ford,"$53,176",ORL,2022
26,Jeff Dowtin,"$53,176",ORL,2022
27,Mychal Mulder,$0,ORL,2022
28,Ignas Brazdeikis,$0,ORL,2022
