Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Franz Wagner,21.0,SF,80,80,2609,0,16,72,12,0,0.6,10.2,72,53,78,23,138,44,680,31,84,,ORL,2023
2.0,Paolo Banchero,20.0,PF,72,72,2430,0,0,23,74,3,-4.5,-4.4,79,78,90,22,258,8,634,53,92,ROY-1,ORL,2023
3.0,Markelle Fultz,24.0,PG,60,60,1778,75,25,0,0,0,-4.2,-2.5,73,33,60,19,56,7,835,19,40,,ORL,2023
4.0,Wendell Carter Jr.,23.0,C,57,54,1690,0,0,0,6,94,-1.5,2.3,35,28,82,30,78,4,301,17,18,,ORL,2023
5.0,Cole Anthony,22.0,PG,60,4,1552,100,0,0,0,0,-0.6,3.6,43,28,83,6,76,8,558,20,22,,ORL,2023
6.0,Bol Bol,23.0,PF,70,33,1505,0,0,1,82,18,-4.4,-2.5,36,47,50,8,55,3,164,16,19,,ORL,2023
7.0,Jalen Suggs,21.0,SG,53,19,1246,31,53,16,0,0,-2.4,0.6,55,21,54,11,49,27,366,15,29,,ORL,2023
8.0,Gary Harris,28.0,SG,48,42,1184,9,79,12,0,0,-3.5,-1.0,11,4,43,3,12,6,145,3,14,,ORL,2023
9.0,Moritz Wagner,25.0,C,57,18,1109,0,0,0,6,94,-1.5,1.8,20,13,67,19,90,24,197,21,31,,ORL,2023
10.0,Terrence Ross,31.0,SG,42,9,944,12,61,26,1,0,-3.1,-0.4,21,6,26,3,10,5,131,4,9,,ORL,2023
11.0,Caleb Houstan,20.0,SF,51,4,812,2,34,53,11,1,-5.5,-3.4,8,3,35,1,6,0,78,1,7,,ORL,2023
12.0,Mo Bamba,24.0,C,40,6,681,0,0,0,0,100,1.7,5.4,8,8,58,4,22,0,101,7,12,,ORL,2023
13.0,Chuma Okeke,24.0,SF,27,8,518,5,52,40,3,0,-10.4,-8.7,7,3,24,1,9,1,92,1,4,,ORL,2023
14.0,Kevon Harris,25.0,SG,34,0,457,23,67,10,0,0,0.2,3.4,10,6,32,3,19,2,37,8,10,,ORL,2023
15.0,Admiral Schofield,25.0,PF,37,0,451,0,1,22,65,13,-9.1,-7.0,11,2,38,2,8,8,79,3,6,,ORL,2023
16.0,R.J. Hampton,21.0,SG,26,0,361,85,14,1,0,0,-4.1,-1.4,11,4,11,1,19,1,89,5,6,,ORL,2023
17.0,Goga Bitadze,23.0,C,17,1,255,0,0,0,0,100,1.4,4.4,5,3,15,2,7,1,50,2,6,,ORL,2023
18.0,Jonathan Isaac,25.0,PF,11,0,124,0,0,98,2,0,-6.4,-3.7,0,2,2,0,5,0,15,1,2,,ORL,2023
19.0,Michael Carter-Williams,31.0,PG,4,0,44,95,5,0,0,0,-31.4,-28.9,3,0,4,1,4,0,16,1,2,,ORL,2023
20.0,Jay Scrubb,22.0,SG,2,0,30,21,35,45,0,0,-29.6,-27.0,2,0,0,1,1,0,2,0,2,,ORL,2023
,Team Totals,,,82,82,19780,20,20,20,20,20,-2.8,0.6,510,342,852,160,922,149,4570,228,415,,ORL,2023
