G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 25, 2023",7:00p,,Box Score,,Houston Rockets,W,,116,86,1,0,W 1,18846,2:14,,ORL,2024
2,"Fri, Oct 27, 2023",10:00p,,Box Score,@,Portland Trail Blazers,W,,102,97,2,0,W 2,19464,2:19,,ORL,2024
3,"Mon, Oct 30, 2023",10:30p,,Box Score,@,Los Angeles Lakers,L,,103,106,2,1,L 1,18997,2:18,,ORL,2024
4,"Tue, Oct 31, 2023",10:30p,,Box Score,@,Los Angeles Clippers,L,,102,118,2,2,L 2,14014,2:17,,ORL,2024
5,"Thu, Nov 2, 2023",9:00p,,Box Score,@,Utah Jazz,W,,115,113,3,2,W 1,18206,2:34,,ORL,2024
6,"Sat, Nov 4, 2023",7:00p,,Box Score,,Los Angeles Lakers,W,,120,101,4,2,W 2,18846,2:21,,ORL,2024
7,"Mon, Nov 6, 2023",7:00p,,Box Score,,Dallas Mavericks,L,,102,117,4,3,L 1,19409,2:22,,ORL,2024
8,"Thu, Nov 9, 2023",9:30p,,Box Score,,Atlanta Hawks,L,,119,120,4,4,L 2,19986,2:31,"at Mexico City, Mexico",ORL,2024
9,"Sat, Nov 11, 2023",6:00p,,Box Score,,Milwaukee Bucks,W,,112,97,5,4,W 1,19354,2:25,,ORL,2024
10,"Tue, Nov 14, 2023",7:30p,,Box Score,@,Brooklyn Nets,L,,104,124,5,5,L 1,17361,2:07,In-Season Tournament,ORL,2024
11,"Wed, Nov 15, 2023",8:00p,,Box Score,@,Chicago Bulls,W,,96,94,6,5,W 1,19092,2:20,,ORL,2024
12,"Fri, Nov 17, 2023",8:00p,,Box Score,@,Chicago Bulls,W,,103,97,7,5,W 2,20235,2:17,In-Season Tournament,ORL,2024
13,"Sun, Nov 19, 2023",5:00p,,Box Score,@,Indiana Pacers,W,,128,116,8,5,W 3,17276,2:26,,ORL,2024
14,"Tue, Nov 21, 2023",7:00p,,Box Score,,Toronto Raptors,W,,126,107,9,5,W 4,18846,2:10,In-Season Tournament,ORL,2024
15,"Wed, Nov 22, 2023",7:00p,,Box Score,,Denver Nuggets,W,,124,119,10,5,W 5,18237,2:22,,ORL,2024
16,"Fri, Nov 24, 2023",2:30p,,Box Score,,Boston Celtics,W,,113,96,11,5,W 6,18846,2:17,In-Season Tournament,ORL,2024
17,"Sun, Nov 26, 2023",6:00p,,Box Score,,Charlotte Hornets,W,,130,117,12,5,W 7,18846,2:16,,ORL,2024
18,"Wed, Nov 29, 2023",7:00p,,Box Score,,Washington Wizards,W,,139,120,13,5,W 8,17109,2:13,,ORL,2024
19,"Fri, Dec 1, 2023",7:00p,,Box Score,,Washington Wizards,W,,130,125,14,5,W 9,18846,2:30,,ORL,2024
20,"Sat, Dec 2, 2023",7:00p,,Box Score,@,Brooklyn Nets,L,,101,129,14,6,L 1,17966,2:20,,ORL,2024
21,"Wed, Dec 6, 2023",7:00p,,Box Score,@,Cleveland Cavaliers,L,,111,121,14,7,L 2,19432,2:25,,ORL,2024
22,"Fri, Dec 8, 2023",7:00p,,Box Score,,Detroit Pistons,W,,123,91,15,7,W 1,18655,2:08,,ORL,2024
23,"Mon, Dec 11, 2023",7:00p,,Box Score,,Cleveland Cavaliers,W,,104,94,16,7,W 2,19032,2:25,,ORL,2024
24,"Fri, Dec 15, 2023",7:30p,,Box Score,@,Boston Celtics,L,,111,128,16,8,L 1,19156,2:06,,ORL,2024
25,"Sun, Dec 17, 2023",3:00p,,Box Score,@,Boston Celtics,L,,97,114,16,9,L 2,19156,2:10,,ORL,2024
26,"Wed, Dec 20, 2023",7:00p,,Box Score,,Miami Heat,L,,106,115,16,10,L 3,19129,2:19,,ORL,2024
27,"Thu, Dec 21, 2023",8:00p,,Box Score,@,Milwaukee Bucks,L,,114,118,16,11,L 4,17928,2:25,,ORL,2024
28,"Sat, Dec 23, 2023",7:00p,,Box Score,@,Indiana Pacers,W,,117,110,17,11,W 1,17274,2:20,,ORL,2024
29,"Tue, Dec 26, 2023",7:00p,,Box Score,@,Washington Wizards,W,,127,119,18,11,W 2,16293,2:20,,ORL,2024
30,"Wed, Dec 27, 2023",7:00p,,Box Score,,Philadelphia 76ers,L,,92,112,18,12,L 1,19179,2:15,,ORL,2024
31,"Fri, Dec 29, 2023",7:00p,,Box Score,,New York Knicks,W,,117,108,19,12,W 1,19587,2:31,,ORL,2024
32,"Sun, Dec 31, 2023",8:00p,,Box Score,@,Phoenix Suns,L,,107,112,19,13,L 1,17071,2:06,,ORL,2024
33,"Tue, Jan 2, 2024",10:00p,,Box Score,@,Golden State Warriors,L,,115,121,19,14,L 2,18064,2:33,,ORL,2024
34,"Wed, Jan 3, 2024",10:00p,,Box Score,@,Sacramento Kings,L,2OT,135,138,19,15,L 3,17832,2:59,,ORL,2024
35,"Fri, Jan 5, 2024",9:00p,,Box Score,@,Denver Nuggets,W,,122,120,20,15,W 1,19659,2:15,,ORL,2024
36,"Sun, Jan 7, 2024",6:00p,,Box Score,,Atlanta Hawks,W,OT,117,110,21,15,W 2,19349,2:35,,ORL,2024
