No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us US,4,UNC,ORL,2025
5,Paolo Banchero,PF,6-10,250,"November 12, 2002",us US,2,Duke,ORL,2025
35,Goga Bitadze,C,6-11,250,"July 20, 1999",ge GE,5,,ORL,2025
0,Anthony Black,PG,6-7,200,"January 20, 2004",us US,1,Arkansas,ORL,2025
3,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us US,11,Georgia,ORL,2025
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,6,Duke,ORL,2025
23,Tristan Da Silva,SF,6-8,217,"May 15, 2001",de DE,R,Colorado,ORL,2025
14,Gary Harris,SG,6-4,210,"September 14, 1994",us US,10,Michigan State,ORL,2025
2,Caleb Houstan,SF,6-8,205,"January 9, 2003",ca CA,2,Michigan,ORL,2025
13,Jett Howard,SF,6-8,215,"September 14, 2003",us US,1,Michigan,ORL,2025
1,Jonathan Isaac,PF,6-10,230,"October 3, 1997",us US,5,Florida State,ORL,2025
10,Cory Joseph,PG,6-2,200,"August 20, 1991",ca CA,13,Texas,ORL,2025
8,Mac McClung,SG,6-2,185,"January 6, 1999",us US,2,"Georgetown, Texas Tech",ORL,2025
12,Trevelin Queen,SG,6-5,190,"February 25, 1997",us US,3,"College of Marin, New Mexico Military Institute, New Mexico State",ORL,2025
4,Jalen Suggs,PG,6-5,205,"June 3, 2001",us US,3,Gonzaga,ORL,2025
22,Franz Wagner,SF,6-10,220,"August 27, 2001",de DE,3,Michigan,ORL,2025
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,6,Michigan,ORL,2025
