Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Tyrese Maxey,21.0,PG,75,74,2650,99,1,0,0,0,3.4,2.2,48,22,83,9,116,4,774,36,54,,PHI,2022
2.0,Tobias Harris,29.0,PF,73,73,2543,0,0,0,97,3,3.3,1.7,43,42,91,23,100,2,597,30,71,,PHI,2022
3.0,Joel Embiid,27.0,C,68,68,2297,0,0,0,0,100,7.5,11.5,82,83,92,29,371,2,699,85,82,"MVP-2,AS,NBA2",PHI,2022
4.0,Georges Niang,28.0,PF,76,7,1736,0,0,35,63,2,1.2,-2.6,30,13,87,8,25,11,237,7,27,,PHI,2022
5.0,Matisse Thybulle,24.0,SG,66,50,1685,9,41,49,0,0,4.4,3.0,25,11,69,2,18,24,182,3,8,"DPOY-11,DEF2",PHI,2022
6.0,Seth Curry,31.0,SG,45,45,1566,29,71,1,0,0,2.8,0.1,47,18,32,5,20,11,435,9,9,,PHI,2022
7.0,Furkan Korkmaz,24.0,SG,67,19,1414,1,26,67,6,0,0.9,-2.9,30,9,28,1,32,10,311,4,18,,PHI,2022
8.0,Danny Green,34.0,SF,62,28,1353,0,6,84,10,0,2.4,-0.5,24,10,52,3,3,8,154,2,11,,PHI,2022
9.0,Shake Milton,25.0,SG,55,6,1179,7,64,27,2,0,-1.3,-5.7,23,8,47,10,37,5,332,15,20,,PHI,2022
10.0,Andre Drummond,28.0,C,49,12,902,0,0,0,1,99,0.8,-2.5,35,13,66,19,34,3,230,10,23,,PHI,2022
11.0,James Harden,32.0,PG,21,21,792,30,71,0,0,0,8.7,7.6,44,19,22,6,79,3,524,14,27,AS,PHI,2022
12.0,Isaiah Joe,22.0,SG,55,1,609,49,47,4,0,0,2.2,-0.6,12,2,23,3,14,9,85,5,6,,PHI,2022
13.0,Paul Reed,22.0,C,38,2,302,0,0,0,39,61,-5.6,-9.0,1,4,31,5,8,2,40,2,9,,PHI,2022
14.0,DeAndre Jordan,33.0,C,16,1,214,0,0,0,0,100,-7.4,-10.7,7,2,10,3,6,0,21,0,0,,PHI,2022
15.0,Charles Bassey,21.0,C,23,0,168,0,0,0,0,100,-10.6,-13.8,1,4,21,0,7,0,18,2,3,,PHI,2022
16.0,Charlie Brown Jr.,24.0,SG,19,2,162,5,59,36,0,0,7.4,4.9,4,1,10,0,4,0,13,2,5,,PHI,2022
17.0,Paul Millsap,36.0,C,9,1,106,0,0,0,4,96,-16.3,-19.5,2,4,11,2,3,1,14,1,2,,PHI,2022
18.0,Myles Powell,24.0,PG,11,0,52,100,0,0,0,0,-14.6,-17.5,1,1,3,0,0,1,8,0,1,,PHI,2022
19.0,Tyler Johnson,29.0,PG,3,0,38,100,0,0,0,0,8.8,6.2,0,1,1,0,0,0,5,0,1,,PHI,2022
20.0,Aaron Henry,22.0,SF,6,0,17,0,11,69,21,0,-51.1,-54.1,1,0,2,0,0,0,0,0,2,,PHI,2022
21.0,Braxton Key,24.0,SF,2,0,6,0,0,0,100,0,-28.6,-31.3,1,1,1,0,0,0,2,0,0,,PHI,2022
22.0,Jaden Springer,19.0,SG,2,0,6,0,37,63,0,0,-59.8,-62.6,0,1,0,0,0,0,0,0,0,,PHI,2022
23.0,Willie Cauley-Stein,28.0,C,2,0,6,0,0,0,0,100,33.3,30.7,0,0,2,0,0,0,2,0,0,,PHI,2022
,Team Totals,,,82,82,19803,20,20,20,20,20,2.7,0.9,461,269,784,128,877,96,4683,227,379,,PHI,2022
