No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
23,Charles Bassey,C,6-10,230,"October 28, 2000",ng NG,R,Western Kentucky,PHI,2022
16,Charlie Brown Jr.,SG,6-6,199,"February 2, 1997",us US,2,Saint Joseph's,PHI,2022
0,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",us US,6,Kentucky,PHI,2022
31,Seth Curry,SG,6-1,185,"August 23, 1990",us US,7,"Liberty, Duke",PHI,2022
1,Andre Drummond,C,6-11,279,"August 10, 1993",us US,9,UConn,PHI,2022
21,Joel Embiid,C,7-0,280,"March 16, 1994",cm CM,5,Kansas,PHI,2022
14,Danny Green,SF,6-6,215,"June 22, 1987",us US,12,UNC,PHI,2022
1,James Harden,PG,6-5,220,"August 26, 1989",us US,12,Arizona State,PHI,2022
12,Tobias Harris,PF,6-8,226,"July 15, 1992",us US,10,Tennessee,PHI,2022
50,Aaron Henry,SF,6-5,210,"August 30, 1999",us US,R,Michigan State,PHI,2022
7,Isaiah Joe,SG,6-4,165,"July 2, 1999",us US,1,Arkansas,PHI,2022
8,Tyler Johnson,PG,6-3,186,"May 7, 1992",us US,7,Fresno State,PHI,2022
9,DeAndre Jordan,C,6-11,265,"July 21, 1988",us US,13,Texas A&M,PHI,2022
17,Braxton Key,SF,6-7,225,"February 14, 1997",us US,R,"Alabama, Virginia",PHI,2022
30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",tr TR,4,,PHI,2022
0,Tyrese Maxey,PG,6-2,200,"November 4, 2000",us US,1,Kentucky,PHI,2022
8,Paul Millsap,C,6-7,257,"February 10, 1985",us US,15,Louisiana Tech,PHI,2022
18,Shake Milton,SG,6-5,205,"September 26, 1996",us US,3,SMU,PHI,2022
20,Georges Niang,PF,6-6,230,"June 17, 1993",us US,5,Iowa State,PHI,2022
5,Myles Powell,PG,6-2,195,"July 7, 1997",us US,R,Seton Hall,PHI,2022
44,Paul Reed,C,6-9,210,"June 14, 1999",us US,1,DePaul,PHI,2022
11,Jaden Springer,SG,6-4,202,"September 25, 2002",us US,R,Tennessee,PHI,2022
22,Matisse Thybulle,SG,6-5,202,"March 4, 1997",us US,2,Washington,PHI,2022
