Rk,Unnamed: 1,Salary,Team,Season
1,Tobias Harris,"$37,633,050",PHI,2023
2,Joel Embiid,"$33,616,770",PHI,2023
3,James Harden,"$33,000,000",PHI,2023
4,P.J. Tucker,"$10,490,000",PHI,2023
5,De'Anthony Melton,"$8,250,000",PHI,2023
6,Furkan Korkmaz,"$5,000,000",PHI,2023
7,Danuel House,"$4,105,000",PHI,2023
8,Georges Niang,"$3,465,000",PHI,2023
9,Tyrese Maxey,"$2,726,880",PHI,2023
10,Montrezl Harrell,"$2,463,490",PHI,2023
11,Jaden Springer,"$2,125,200",PHI,2023
12,Shake Milton,"$1,997,718",PHI,2023
13,Jalen McDaniels,"$1,930,681",PHI,2023
14,Paul Reed,"$1,782,621",PHI,2023
15,Dewayne Dedmon,"$580,373",PHI,2023
16,Trevelin Queen,"$330,000",PHI,2023
17,Charles Bassey,"$74,742",PHI,2023
18,Michael Foster,,PHI,2023
19,Saben Lee,,PHI,2023
20,Louis King,,PHI,2023
21,Mac McClung,,PHI,2023
