Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team,Season
1.0,Devin Booker,24.0,SG,67,67,33.9,9.3,19.2,0.484,1.9,5.5,0.34,7.4,13.7,0.543,0.533,5.1,5.9,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,AS,PHO,2021
2.0,Mikal Bridges,24.0,SF,72,72,32.6,5.0,9.3,0.543,1.9,4.4,0.425,3.2,4.9,0.647,0.643,1.5,1.8,0.84,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5,,PHO,2021
3.0,Chris Paul,35.0,PG,70,70,31.4,6.3,12.6,0.499,1.5,3.7,0.395,4.8,8.9,0.543,0.557,2.4,2.6,0.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4,"MVP-5,AS,NBA2",PHO,2021
4.0,Deandre Ayton,22.0,C,69,69,30.7,6.2,10.0,0.626,0.1,0.3,0.2,6.2,9.7,0.639,0.629,1.9,2.5,0.769,3.3,7.2,10.5,1.4,0.6,1.2,1.5,2.8,14.4,,PHO,2021
5.0,Jae Crowder,30.0,PF,60,42,27.5,3.3,8.2,0.404,2.5,6.3,0.389,0.9,1.9,0.455,0.555,1.0,1.3,0.76,0.5,4.2,4.7,2.1,0.8,0.5,0.9,2.1,10.1,,PHO,2021
6.0,Cameron Johnson,24.0,PF,60,11,24.0,3.4,8.1,0.42,2.0,5.6,0.349,1.4,2.5,0.581,0.541,0.8,1.0,0.847,0.6,2.8,3.3,1.4,0.6,0.3,0.7,1.4,9.6,,PHO,2021
7.0,Torrey Craig,30.0,SF,32,8,18.8,2.8,5.7,0.503,1.0,2.6,0.369,1.9,3.0,0.619,0.588,0.5,0.6,0.8,1.4,3.4,4.8,1.0,0.6,0.6,0.6,1.8,7.2,,PHO,2021
8.0,Cameron Payne,26.0,PG,60,1,18.0,3.2,6.6,0.484,1.2,2.8,0.44,2.0,3.8,0.515,0.576,0.8,0.9,0.893,0.3,2.1,2.4,3.6,0.6,0.3,1.0,1.6,8.4,,PHO,2021
9.0,Dario Å ariÄ,26.0,C,50,4,17.4,3.1,6.8,0.447,0.9,2.7,0.348,2.1,4.1,0.512,0.516,1.7,2.0,0.848,0.9,2.9,3.8,1.3,0.6,0.1,1.1,1.9,8.7,,PHO,2021
10.0,Frank Kaminsky,27.0,C,47,13,15.2,2.6,5.5,0.471,0.7,1.8,0.365,1.9,3.7,0.523,0.531,0.8,1.3,0.617,0.8,3.2,4.0,1.7,0.3,0.4,0.5,1.5,6.6,,PHO,2021
11.0,Abdel Nader,27.0,SF,24,0,14.8,2.4,4.8,0.491,0.8,1.8,0.419,1.6,3.0,0.534,0.569,1.2,1.5,0.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7,,PHO,2021
12.0,E'Twaun Moore,31.0,SG,27,1,14.4,2.0,4.5,0.455,0.4,1.3,0.314,1.6,3.2,0.512,0.5,0.4,0.5,0.857,0.5,1.1,1.7,1.5,0.6,0.2,0.9,1.2,4.9,,PHO,2021
13.0,Jevon Carter,25.0,PG,60,1,12.0,1.6,3.7,0.422,0.9,2.5,0.371,0.6,1.2,0.528,0.547,0.1,0.1,0.571,0.3,1.3,1.5,1.2,0.5,0.2,0.3,0.9,4.1,,PHO,2021
14.0,Langston Galloway,29.0,SG,40,0,11.0,1.7,3.7,0.449,0.9,2.1,0.424,0.8,1.6,0.484,0.571,0.6,0.6,0.957,0.2,0.9,1.1,0.7,0.2,0.0,0.3,0.6,4.8,,PHO,2021
15.0,Damian Jones,25.0,C,14,0,6.7,0.6,1.1,0.5,0.0,0.1,0.0,0.6,1.1,0.533,0.5,0.4,0.8,0.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6,,PHO,2021
16.0,Jalen Smith,20.0,PF,27,1,5.8,0.8,1.9,0.44,0.1,0.6,0.235,0.7,1.2,0.545,0.48,0.2,0.3,0.714,0.3,1.1,1.4,0.1,0.0,0.2,0.3,0.6,2.0,,PHO,2021
17.0,Ty-Shon Alexander,22.0,SG,15,0,3.1,0.2,0.8,0.25,0.1,0.6,0.222,0.1,0.2,0.333,0.333,0.1,0.1,0.5,0.1,0.5,0.7,0.4,0.0,0.1,0.2,0.1,0.6,,PHO,2021
,Team Totals,,,72,72,242.8,43.3,88.3,0.49,13.1,34.6,0.378,30.3,53.7,0.563,0.564,15.6,18.7,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,,PHO,2021
