Rk,Unnamed: 1,Salary,Team,Season
1,Devin Booker,"$31,650,600",PHO,2022
2,Chris Paul,"$30,800,000",PHO,2022
3,Deandre Ayton,"$12,632,950",PHO,2022
4,Jae Crowder,"$9,720,900",PHO,2022
5,Dario Å ariÄ,"$8,510,000",PHO,2022
6,Cameron Payne,"$6,500,000",PHO,2022
7,Mikal Bridges,"$5,557,725",PHO,2022
8,JaVale McGee,"$5,000,000",PHO,2022
9,Torrey Craig,"$4,878,049",PHO,2022
10,Cameron Johnson,"$4,437,000",PHO,2022
11,Aaron Holiday,"$3,980,551",PHO,2022
12,Landry Shamet,"$3,768,342",PHO,2022
13,Elfrid Payton,"$2,239,544",PHO,2022
14,Frank Kaminsky,"$2,089,448",PHO,2022
15,Abdel Nader,"$2,000,000",PHO,2022
16,Bismack Biyombo,"$1,518,213",PHO,2022
17,Justin Jackson,"$205,662",PHO,2022
18,Paris Bass,"$106,352",PHO,2022
19,Emanuel Terry,"$85,578",PHO,2022
20,M.J. Walker,"$53,176",PHO,2022
21,Ish Wainright,"$8,558",PHO,2022
22,Gabriel Lundberg,$0,PHO,2022
23,Chandler Hutchison,$0,PHO,2022
