No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
22,Deandre Ayton,C,7-0,252,"July 23, 1998",bs BS,4,Arizona,PHO,2023
55,Darius Bazley,C,6-9,216,"June 12, 2000",us US,3,,PHO,2023
18,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,11,,PHO,2023
1,Devin Booker,SG,6-5,206,"October 30, 1996",us US,7,Kentucky,PHO,2023
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",us US,4,Villanova,PHO,2023
0,Torrey Craig,PF,6-5,221,"December 19, 1990",us US,5,USC Upstate,PHO,2023
35,Kevin Durant,PF,6-11,240,"September 29, 1988",us US,14,Texas,PHO,2023
23,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,3,"Pitt, UNC",PHO,2023
11,Jock Landale,C,6-11,255,"October 25, 1995",au AU,1,Saint Mary's,PHO,2023
10,Damion Lee,SG,6-6,210,"October 21, 1992",us US,5,"Drexel, Louisville",PHO,2023
38,Saben Lee,PG,6-2,183,"June 23, 1999",us US,2,Vanderbilt,PHO,2023
2,Josh Okogie,SG,6-4,213,"September 1, 1998",ng NG,4,Georgia Tech,PHO,2023
3,Chris Paul,PG,6-0,175,"May 6, 1985",us US,17,Wake Forest,PHO,2023
15,Cameron Payne,PG,6-2,183,"August 8, 1994",us US,7,Murray State,PHO,2023
8,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,10,Washington,PHO,2023
20,Dario Å ariÄ,PF,6-10,225,"April 8, 1994",hr HR,5,,PHO,2023
14,Landry Shamet,SG,6-5,190,"March 13, 1997",us US,4,Wichita State,PHO,2023
12,Ish Wainright,SF,6-5,250,"September 12, 1994",us US,1,Baylor,PHO,2023
21,T.J. Warren,SF,6-8,220,"September 5, 1993",us US,7,NC State,PHO,2023
4,Duane Washington Jr.,SG,6-2,197,"March 24, 2000",de DE,1,Ohio State,PHO,2023
