Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Devin Booker,28.0,SG,75,75,2795,1,45,50,4,0,-3.0,-0.9,127,62,81,16,200,26,1352,46,62,,PHO,2025
2.0,Kevin Durant,36.0,PF,62,62,2265,0,0,8,68,25,-1.0,4.2,100,58,55,17,154,8,625,38,32,AS,PHO,2025
3.0,Tyus Jones,28.0,PG,81,58,2174,96,4,0,0,0,-3.1,-0.7,67,11,29,3,17,13,1072,3,26,,PHO,2025
4.0,Royce O'Neale,31.0,SF,75,22,1837,0,5,58,37,0,-3.3,-1.1,41,15,91,5,11,3,406,2,19,,PHO,2025
5.0,Bradley Beal,31.0,SG,53,38,1702,19,65,16,0,0,-7.7,-8.7,54,35,87,3,57,9,474,9,21,,PHO,2025
6.0,Grayson Allen,29.0,SG,64,7,1544,32,66,2,0,0,-3.1,-0.5,47,18,52,8,47,9,332,8,18,,PHO,2025
7.0,Ryan Dunn,22.0,SF,74,44,1410,0,0,48,51,1,-1.7,1.6,18,12,93,7,19,3,146,2,21,,PHO,2025
8.0,Mason Plumlee,34.0,C,74,21,1300,0,0,0,1,99,1.1,5.7,19,17,97,16,59,3,317,8,26,,PHO,2025
9.0,Oso Ighodaro,22.0,PF,61,6,1045,0,0,2,46,53,0.5,4.4,17,15,65,6,20,1,166,5,15,,PHO,2025
10.0,Nick Richards,27.0,C,36,34,816,0,0,0,0,100,-8.3,-7.0,14,13,56,17,36,4,53,7,32,,PHO,2025
11.0,Jusuf NurkiÄ,30.0,C,25,23,592,0,0,0,0,100,-5.9,-3.7,27,13,43,17,33,2,112,6,11,,PHO,2025
12.0,Monte Morris,29.0,PG,45,0,571,100,0,0,0,0,3.9,7.8,14,5,10,0,17,3,169,1,14,,PHO,2025
13.0,Collin Gillespie,25.0,PG,33,9,461,94,6,0,0,0,-3.4,-0.7,8,5,15,1,11,3,186,2,10,,PHO,2025
14.0,Bol Bol,25.0,PF,36,10,448,0,0,0,67,33,-4.6,-2.1,10,7,15,0,11,0,54,2,0,,PHO,2025
15.0,Josh Okogie,26.0,SG,25,1,351,2,44,47,8,0,-0.3,2.7,6,5,15,1,17,7,35,4,13,,PHO,2025
16.0,Cody Martin,29.0,SF,14,0,206,0,25,42,33,0,-7.8,-5.3,7,1,15,1,6,5,38,2,6,,PHO,2025
17.0,Damion Lee,32.0,SG,25,0,144,0,46,50,4,0,2.6,5.6,6,3,3,1,6,0,25,1,3,,PHO,2025
18.0,TyTy Washington Jr.,23.0,PG,16,0,118,30,64,6,0,0,-2.0,0.8,2,0,3,0,3,0,36,0,0,,PHO,2025
19.0,Jalen Bridges,23.0,SF,8,0,30,0,0,73,27,0,6.8,9.7,0,4,0,0,2,0,0,0,0,,PHO,2025
20.0,Vasilije MiciÄ,31.0,PG,5,0,21,0,73,27,0,0,12.4,15.3,2,0,0,1,0,0,2,0,0,,PHO,2025
,Team Totals,,,82,82,19830,20,20,20,20,20,-2.8,-0.1,586,299,825,120,726,99,5600,146,329,,PHO,2025
