Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Damian Lillard,30.0,PG,67,67,2398,100,0,0,0,0,3.9,6.6,143,38,42,15,176,26,1256,32,67,"MVP-7,AS,NBA2",POR,2021
2.0,Robert Covington,30.0,PF,70,70,2243,0,0,14,86,1,4.4,7.0,28,6,117,15,23,13,299,2,16,,POR,2021
3.0,Enes Freedom,28.0,C,72,35,1758,0,0,0,2,98,4.0,4.1,20,26,113,21,79,2,213,24,68,6MOY-10,POR,2021
4.0,Carmelo Anthony,36.0,PF,69,3,1690,0,0,0,71,29,-1.4,-6.4,16,16,70,24,68,5,261,13,19,6MOY-7,POR,2021
5.0,CJ McCollum,29.0,SG,47,47,1600,19,79,2,0,0,5.5,6.7,40,16,39,4,66,5,562,25,30,,POR,2021
6.0,Derrick Jones Jr.,23.0,SF,58,43,1318,1,10,87,2,0,-0.1,-3.3,18,6,72,6,42,9,120,8,16,,POR,2021
7.0,Gary Trent Jr.,22.0,SG,41,23,1262,3,88,9,0,0,-0.2,-3.4,14,9,29,5,36,7,149,10,14,,POR,2021
8.0,Anfernee Simons,21.0,SG,64,0,1104,62,38,0,0,0,0.4,-2.2,21,14,52,3,25,3,232,3,17,,POR,2021
9.0,Norman Powell,27.0,SF,27,27,928,0,28,72,0,0,5.9,5.4,24,11,29,3,45,4,125,6,24,,POR,2021
10.0,Jusuf NurkiÄ,26.0,C,37,37,880,0,0,0,0,100,7.3,7.3,34,14,56,19,57,7,302,15,30,,POR,2021
11.0,Rodney Hood,28.0,SF,38,5,726,0,20,72,8,0,-5.7,-9.6,16,8,29,5,7,6,126,2,6,,POR,2021
12.0,Nassir Little,20.0,PF,48,2,640,0,2,82,15,1,-2.8,-5.8,5,8,31,2,21,2,61,6,8,,POR,2021
13.0,Harry Giles,22.0,C,38,0,348,0,0,0,0,100,-8.0,-11.1,9,6,33,5,10,2,73,3,8,,POR,2021
14.0,CJ Elleby,20.0,SF,30,0,192,0,48,46,6,0,-3.7,-5.9,3,2,21,0,7,2,24,1,2,,POR,2021
15.0,Rondae Hollis-Jefferson,26.0,PF,11,1,107,0,0,40,60,0,2.1,0.2,1,0,8,1,6,0,32,0,2,,POR,2021
16.0,Keljin Blevins,25.0,SF,17,0,75,39,43,18,0,0,-18.4,-20.9,3,0,6,0,0,0,10,0,4,,POR,2021
17.0,T.J. Leaf,23.0,PF,7,0,35,0,0,0,100,0,-25.0,-27.2,1,0,1,0,1,0,2,0,2,,POR,2021
,Team Totals,,,72,72,17304,20,20,20,20,20,1.9,1.2,396,180,748,128,669,93,3847,150,333,,POR,2021
