G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 20, 2021",10:00p,,Box Score,,Sacramento Kings,L,,121,124,0,1,L 1,17467,2:18,,POR,2022
2,"Sat, Oct 23, 2021",10:00p,,Box Score,,Phoenix Suns,W,,134,105,1,1,W 1,18558,1:59,,POR,2022
3,"Mon, Oct 25, 2021",10:30p,,Box Score,@,Los Angeles Clippers,L,,86,116,1,2,L 1,15672,2:10,,POR,2022
4,"Wed, Oct 27, 2021",10:00p,,Box Score,,Memphis Grizzlies,W,,116,96,2,2,W 1,16241,2:19,,POR,2022
5,"Fri, Oct 29, 2021",10:00p,,Box Score,,Los Angeles Clippers,W,,111,92,3,2,W 2,16510,2:07,,POR,2022
6,"Sun, Oct 31, 2021",7:00p,,Box Score,@,Charlotte Hornets,L,,113,125,3,3,L 1,14960,2:03,,POR,2022
7,"Mon, Nov 1, 2021",7:00p,,Box Score,@,Philadelphia 76ers,L,,103,113,3,4,L 2,20115,2:04,,POR,2022
8,"Wed, Nov 3, 2021",7:00p,,Box Score,@,Cleveland Cavaliers,L,,104,107,3,5,L 3,16231,2:06,,POR,2022
9,"Fri, Nov 5, 2021",10:00p,,Box Score,,Indiana Pacers,W,,110,106,4,5,W 1,16841,2:04,,POR,2022
10,"Sat, Nov 6, 2021",10:30p,,Box Score,,Los Angeles Lakers,W,,105,90,5,5,W 2,19393,2:06,,POR,2022
11,"Tue, Nov 9, 2021",10:00p,,Box Score,@,Los Angeles Clippers,L,,109,117,5,6,L 1,14131,2:08,,POR,2022
12,"Wed, Nov 10, 2021",9:00p,,Box Score,@,Phoenix Suns,L,,109,119,5,7,L 2,15672,2:08,,POR,2022
13,"Fri, Nov 12, 2021",8:00p,,Box Score,@,Houston Rockets,W,,104,92,6,7,W 1,15468,2:13,,POR,2022
14,"Sun, Nov 14, 2021",8:00p,,Box Score,@,Denver Nuggets,L,,95,124,6,8,L 1,14583,1:56,,POR,2022
15,"Mon, Nov 15, 2021",10:00p,,Box Score,,Toronto Raptors,W,,118,113,7,8,W 1,16142,2:07,,POR,2022
16,"Wed, Nov 17, 2021",10:00p,,Box Score,,Chicago Bulls,W,,112,107,8,8,W 2,17492,2:15,,POR,2022
17,"Sat, Nov 20, 2021",10:00p,,Box Score,,Philadelphia 76ers,W,,118,111,9,8,W 3,17027,2:16,,POR,2022
18,"Tue, Nov 23, 2021",10:00p,,Box Score,,Denver Nuggets,W,,119,100,10,8,W 4,17052,2:10,,POR,2022
19,"Wed, Nov 24, 2021",10:00p,,Box Score,@,Sacramento Kings,L,,121,125,10,9,L 1,14997,2:28,,POR,2022
20,"Fri, Nov 26, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,103,118,10,10,L 2,18064,2:09,,POR,2022
21,"Mon, Nov 29, 2021",9:00p,,Box Score,@,Utah Jazz,L,,107,129,10,11,L 3,18306,2:06,,POR,2022
22,"Tue, Nov 30, 2021",10:00p,,Box Score,,Detroit Pistons,W,,110,92,11,11,W 1,16071,2:17,,POR,2022
23,"Thu, Dec 2, 2021",10:00p,,Box Score,,San Antonio Spurs,L,,83,114,11,12,L 1,16143,2:02,,POR,2022
24,"Sat, Dec 4, 2021",10:00p,,Box Score,,Boston Celtics,L,,117,145,11,13,L 2,18193,2:11,,POR,2022
25,"Mon, Dec 6, 2021",10:00p,,Box Score,,Los Angeles Clippers,L,,90,102,11,14,L 3,15865,2:12,,POR,2022
26,"Wed, Dec 8, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,94,104,11,15,L 4,18064,2:20,,POR,2022
27,"Sun, Dec 12, 2021",9:00p,,Box Score,,Minnesota Timberwolves,L,,111,116,11,16,L 5,16591,2:22,,POR,2022
28,"Tue, Dec 14, 2021",10:00p,,Box Score,,Phoenix Suns,L,OT,107,111,11,17,L 6,16184,2:35,,POR,2022
29,"Wed, Dec 15, 2021",10:00p,,Box Score,,Memphis Grizzlies,L,,103,113,11,18,L 7,15773,2:20,,POR,2022
30,"Fri, Dec 17, 2021",10:00p,,Box Score,,Charlotte Hornets,W,,125,116,12,18,W 1,18399,2:08,,POR,2022
31,"Sun, Dec 19, 2021",6:00p,,Box Score,@,Memphis Grizzlies,W,,105,100,13,18,W 2,15977,2:22,,POR,2022
32,"Tue, Dec 21, 2021",8:00p,,Box Score,@,New Orleans Pelicans,L,,97,111,13,19,L 1,15272,2:05,,POR,2022
33,"Mon, Dec 27, 2021",10:00p,,Box Score,,Dallas Mavericks,L,,117,132,13,20,L 2,18430,2:24,,POR,2022
34,"Wed, Dec 29, 2021",10:00p,,Box Score,,Utah Jazz,L,,105,120,13,21,L 3,17828,2:16,,POR,2022
35,"Fri, Dec 31, 2021",10:30p,,Box Score,@,Los Angeles Lakers,L,,106,139,13,22,L 4,18997,2:11,,POR,2022
36,"Mon, Jan 3, 2022",10:00p,,Box Score,,Atlanta Hawks,W,,136,131,14,22,W 1,15091,2:14,,POR,2022
37,"Wed, Jan 5, 2022",10:00p,,Box Score,,Miami Heat,L,,109,115,14,23,L 1,15773,2:29,,POR,2022
38,"Fri, Jan 7, 2022",10:00p,,Box Score,,Cleveland Cavaliers,L,,101,114,14,24,L 2,16708,2:08,,POR,2022
39,"Sun, Jan 9, 2022",9:00p,,Box Score,,Sacramento Kings,W,,103,88,15,24,W 1,16408,2:07,,POR,2022
40,"Mon, Jan 10, 2022",10:00p,,Box Score,,Brooklyn Nets,W,,114,108,16,24,W 2,16379,2:14,,POR,2022
41,"Thu, Jan 13, 2022",10:00p,,Box Score,@,Denver Nuggets,L,,108,140,16,25,L 1,14972,2:17,,POR,2022
42,"Sat, Jan 15, 2022",7:00p,,Box Score,@,Washington Wizards,W,,115,110,17,25,W 1,15124,2:20,,POR,2022
43,"Mon, Jan 17, 2022",7:00p,,Box Score,@,Orlando Magic,W,,98,88,18,25,W 2,13648,2:10,,POR,2022
44,"Wed, Jan 19, 2022",7:30p,,Box Score,@,Miami Heat,L,,92,104,18,26,L 1,19600,,,POR,2022
45,"Fri, Jan 21, 2022",7:30p,,Box Score,@,Boston Celtics,W,,109,105,19,26,W 1,19156,2:25,,POR,2022
46,"Sun, Jan 23, 2022",6:00p,,Box Score,@,Toronto Raptors,W,,114,105,20,26,W 2,,2:09,,POR,2022
47,"Tue, Jan 25, 2022",10:00p,,Box Score,,Minnesota Timberwolves,L,,107,109,20,27,L 1,16422,2:21,,POR,2022
48,"Wed, Jan 26, 2022",10:00p,,Box Score,,Dallas Mavericks,L,,112,132,20,28,L 2,16334,2:14,,POR,2022
49,"Fri, Jan 28, 2022",8:00p,,Box Score,@,Houston Rockets,W,,125,110,21,28,W 1,16100,2:14,,POR,2022
50,"Sun, Jan 30, 2022",3:30p,,Box Score,@,Chicago Bulls,L,,116,130,21,29,L 1,19521,1:58,,POR,2022
51,"Mon, Jan 31, 2022",8:00p,,Box Score,@,Oklahoma City Thunder,L,,81,98,21,30,L 2,13812,2:01,,POR,2022
52,"Wed, Feb 2, 2022",10:30p,,Box Score,@,Los Angeles Lakers,L,,94,99,21,31,L 3,17259,2:19,,POR,2022
53,"Fri, Feb 4, 2022",10:00p,,Box Score,,Oklahoma City Thunder,L,,93,96,21,32,L 4,15329,2:12,,POR,2022
54,"Sat, Feb 5, 2022",10:00p,,Box Score,,Milwaukee Bucks,L,,108,137,21,33,L 5,19393,2:08,,POR,2022
55,"Tue, Feb 8, 2022",10:00p,,Box Score,,Orlando Magic,L,,95,113,21,34,L 6,16024,1:57,,POR,2022
56,"Wed, Feb 9, 2022",10:00p,,Box Score,,Los Angeles Lakers,W,,107,105,22,34,W 1,19393,2:06,,POR,2022
57,"Sat, Feb 12, 2022",5:00p,,Box Score,,New York Knicks,W,,112,103,23,34,W 2,18521,2:16,,POR,2022
58,"Mon, Feb 14, 2022",8:00p,,Box Score,@,Milwaukee Bucks,W,,122,107,24,34,W 3,17341,2:06,,POR,2022
59,"Wed, Feb 16, 2022",8:00p,,Box Score,@,Memphis Grizzlies,W,,123,119,25,34,W 4,16834,2:29,,POR,2022
