No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
2,Deandre Ayton,C,7-0,252,"July 23, 1998",bs BS,5,Arizona,POR,2024
41,Ibou Badji,C,6-10,240,"October 13, 2002",sn SN,R,,POR,2024
5,Dalano Banton,PG,6-8,203,"November 7, 1999",ca CA,2,Nebraska,POR,2024
21,Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us US,1,San Francisco,POR,2024
11,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us US,7,Virginia,POR,2024
10,Moses Brown,C,7-2,258,"October 13, 1999",us US,4,UCLA,POR,2024
33,Toumani Camara,PF,6-7,230,"May 8, 2000",be BE,R,"Georgia, Dayton",POR,2024
9,Jerami Grant,PF,6-7,213,"March 12, 1994",us US,9,Syracuse,POR,2024
19,Ashton Hagans,PG,6-3,190,"July 8, 1999",us US,1,Kentucky,POR,2024
0,Scoot Henderson,PG,6-3,207,"February 3, 2004",us US,R,,POR,2024
5,Skylar Mays,PG,6-4,205,"September 5, 1997",us US,3,LSU,POR,2024
24,Justin Minaya,SF,6-5,205,"March 26, 1999",us US,1,"South Carolina, Providence",POR,2024
76,Taze Moore,SG,6-5,195,"June 29, 1998",us US,R,"Cal State-Bakersfield, Houston",POR,2024
8,Kris Murray,SF,6-8,218,"August 19, 2000",us US,R,Iowa,POR,2024
26,Duop Reath,C,6-9,245,"June 26, 1996",ss SS,R,"Lee College, LSU",POR,2024
72,Rayan Rupert,SG,6-7,205,"May 31, 2004",fr FR,R,,POR,2024
17,Shaedon Sharpe,SG,6-5,210,"May 30, 2003",ca CA,1,Kentucky,POR,2024
1,Anfernee Simons,SG,6-3,200,"June 8, 1999",us US,5,,POR,2024
4,Matisse Thybulle,SF,6-5,202,"March 4, 1997",us US,4,Washington,POR,2024
23,Ish Wainright,SF,6-5,250,"September 12, 1994",us US,2,Baylor,POR,2024
34,Jabari Walker,PF,6-7,237,"July 30, 2002",us US,1,Colorado,POR,2024
35,Robert Williams,C,6-9,249,"October 17, 1997",us US,5,Texas A&M,POR,2024
