Rk,Unnamed: 1,Salary,Team,Season
1,Jrue Holiday,"$32,400,000",POR,2026
2,Jerami Grant,"$32,000,001",POR,2026
3,Deandre Ayton,"$25,550,814",POR,2026
4,Deni Avdija,"$14,375,000",POR,2026
5,Damian Lillard,"$14,104,000",POR,2026
6,Robert Williams,"$13,285,713",POR,2026
7,Matisse Thybulle,"$11,550,000",POR,2026
8,Scoot Henderson,"$10,748,040",POR,2026
9,Shaedon Sharpe,"$8,399,983",POR,2026
10,Donovan Clingan,"$7,178,400",POR,2026
11,Yang Hansen,"$4,422,360",POR,2026
12,Kris Murray,"$3,132,000",POR,2026
13,VÃ­t KrejÄÃ­,"$2,349,578",POR,2026
14,Blake Wesley,"$2,296,274",POR,2026
15,Toumani Camara,"$2,221,677",POR,2026
16,Rayan Rupert,"$2,221,677",POR,2026
17,Sidy Cissoko,"$686,243",POR,2026
18,Didi Louzada,"$268,032",POR,2026
