Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,DeMar DeRozan,36.0,PF,77,77,2406,0,6,55,39,0,-12.1,-4.9,51,26,78,9,201,15,786,47,38,,SAC,2026
2.0,Maxime Raynaud,22.0,C,74,56,1964,0,0,0,0,100,-11.8,-3.2,34,31,105,14,77,1,234,16,37,,SAC,2026
3.0,Nique Clifford,23.0,SG,75,28,1882,20,48,29,3,0,-5.2,9.5,65,37,88,6,47,13,419,6,39,,SAC,2026
4.0,Russell Westbrook,37.0,SF,64,58,1853,8,48,38,7,0,-11.9,-3.3,146,47,55,4,88,2,951,13,42,,SAC,2026
5.0,Precious Achiuwa,26.0,C,73,57,1745,0,0,0,83,17,-7.2,5.4,16,31,77,8,70,6,237,15,43,,SAC,2026
6.0,Malik Monk,27.0,SG,62,3,1364,35,57,8,0,0,-9.9,0.5,65,20,70,1,44,12,429,6,31,,SAC,2026
7.0,Zach LaVine,30.0,SG,39,37,1224,33,37,25,5,0,-12.7,-3.6,31,29,47,2,68,0,211,10,25,,SAC,2026
8.0,Dennis SchrÃ¶der,32.0,PG,40,14,1056,100,0,0,0,0,-11.1,-1.3,49,22,31,3,55,14,490,12,29,,SAC,2026
9.0,Dylan Cardwell,24.0,C,44,1,907,0,0,0,26,74,-4.4,7.5,15,8,90,11,19,4,152,2,19,,SAC,2026
10.0,Daeqwon Plowden,27.0,SG,32,7,844,6,38,46,10,0,-11.8,-2.1,11,10,46,2,22,6,100,8,12,,SAC,2026
11.0,Keegan Murray,25.0,PF,23,22,793,0,0,24,76,0,-9.9,0.3,11,12,28,0,24,2,91,3,15,,SAC,2026
12.0,Keon Ellis,26.0,SG,43,5,758,52,46,2,0,0,-14.5,-5.3,10,7,49,1,11,12,63,1,3,,SAC,2026
13.0,Devin Carter,23.0,PG,38,12,700,95,5,0,0,0,-8.1,2.5,34,13,24,2,45,12,228,9,13,,SAC,2026
14.0,Domantas Sabonis,29.0,C,19,15,564,0,0,0,18,82,-14.8,-5.4,13,20,32,15,32,1,174,8,18,,SAC,2026
15.0,Drew Eubanks,28.0,C,42,11,552,0,0,0,1,99,-12.4,-2.6,9,13,32,5,22,3,43,7,11,,SAC,2026
16.0,Doug McDermott,34.0,SF,29,0,439,0,4,65,31,0,-12.3,-2.4,10,1,21,1,1,0,52,0,1,,SAC,2026
17.0,Killian Hayes,24.0,PG,23,3,406,85,15,0,0,0,-2.8,8.2,20,5,15,2,11,2,197,1,5,,SAC,2026
18.0,Patrick Baldwin Jr.,23.0,SF,6,1,88,0,0,23,77,0,-26.4,-16.6,2,1,10,1,3,0,11,1,0,,SAC,2026
19.0,DaQuan Jeffries,28.0,SG,3,0,60,0,16,63,22,0,1.9,12.3,0,0,6,0,3,1,3,1,1,,SAC,2026
20.0,De'Andre Hunter,28.0,SF,2,2,51,0,0,85,15,0,-1.0,9.4,2,2,2,0,2,1,3,0,0,,SAC,2026
21.0,Isaiah Stevens,25.0,PG,3,0,43,100,0,0,0,0,-9.3,0.9,1,1,2,0,1,0,25,0,2,,SAC,2026
22.0,Dario Å ariÄ,31.0,C,5,0,41,0,0,0,95,5,0.0,10.3,0,1,2,0,1,0,5,0,1,,SAC,2026
23.0,Isaac Jones,25.0,PF,3,1,17,0,0,0,100,0,-47.0,-37.0,0,0,2,0,0,0,2,0,0,,SAC,2026
,Team Totals,,,82,82,19757,20,20,20,20,20,-10.2,-0.1,595,337,912,87,847,107,4906,166,385,,SAC,2026
