Rk,Unnamed: 1,Salary,Team,Season
1,Zach LaVine,"$47,499,660",SAC,2026
2,Domantas Sabonis,"$42,336,000",SAC,2026
3,DeMar DeRozan,"$24,570,000",SAC,2026
4,De'Andre Hunter,"$23,303,571",SAC,2026
5,Malik Monk,"$18,797,619",SAC,2026
6,Keegan Murray,"$11,144,093",SAC,2026
7,Devin Carter,"$4,923,720",SAC,2026
8,Nique Clifford,"$3,108,120",SAC,2026
9,Drew Eubanks,"$2,296,274",SAC,2026
10,Doug McDermott,"$2,296,274",SAC,2026
11,Russell Westbrook,"$2,296,274",SAC,2026
12,Precious Achiuwa,"$2,111,516",SAC,2026
13,Maxime Raynaud,"$1,272,870",SAC,2026
14,Killian Hayes,"$131,970",SAC,2026
15,Killian Hayes,"$131,970",SAC,2026
