Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Keldon Johnson,22.0,SF,75,74,2392,0,2,41,56,1,1.7,4.0,39,29,72,18,116,13,390,32,63,,SAS,2022
2.0,Dejounte Murray,25.0,PG,68,68,2366,92,8,0,0,0,1.0,2.3,117,46,52,11,115,9,1471,32,58,AS,SAS,2022
3.0,Jakob Poeltl,26.0,C,68,67,1970,0,0,0,0,100,2.8,5.3,47,24,144,25,84,10,446,22,39,,SAS,2022
4.0,Devin Vassell,21.0,SF,71,32,1937,1,29,61,9,0,0.7,1.2,29,18,74,4,44,6,335,10,26,,SAS,2022
5.0,Lonnie Walker IV,23.0,SG,70,6,1612,6,61,33,1,0,-2.1,-3.7,33,19,50,3,69,1,363,10,27,,SAS,2022
6.0,Derrick White,27.0,SG,49,48,1486,16,78,6,0,0,1.4,2.0,49,27,63,4,70,37,631,16,19,,SAS,2022
7.0,Doug McDermott,30.0,PF,51,51,1223,0,0,0,97,3,-3.2,-4.7,18,14,39,5,21,2,150,4,23,,SAS,2022
8.0,Tre Jones,22.0,PG,69,11,1148,100,0,0,0,0,-0.5,-0.9,29,10,30,5,40,27,572,12,28,,SAS,2022
9.0,Joshua Primo,19.0,SF,50,16,965,0,7,77,16,0,-3.7,-5.0,40,7,51,5,24,10,187,4,10,,SAS,2022
10.0,Keita Bates-Diop,26.0,SF,59,14,957,0,0,18,78,4,1.7,2.2,18,15,29,5,32,1,99,9,26,,SAS,2022
11.0,Bryn Forbes,28.0,SG,40,1,676,28,70,2,0,0,-3.8,-4.8,15,7,16,5,18,3,92,3,16,,SAS,2022
12.0,Drew Eubanks,24.0,C,49,9,595,0,0,0,6,94,-5.4,-6.4,17,7,29,14,32,4,124,7,17,,SAS,2022
13.0,Jock Landale,26.0,C,54,1,589,0,0,0,7,93,-1.5,-1.9,14,6,34,6,20,4,111,7,12,,SAS,2022
14.0,Josh Richardson,28.0,SG,21,7,513,6,66,27,2,0,6.5,7.4,10,11,16,2,8,6,109,0,8,,SAS,2022
15.0,Zach Collins,24.0,C,28,4,502,0,0,0,16,84,2.2,2.4,19,13,47,9,23,3,134,4,16,,SAS,2022
16.0,Thaddeus Young,33.0,PF,26,1,370,0,0,2,7,91,-3.6,-4.1,19,9,19,2,7,5,139,4,9,,SAS,2022
17.0,Joe Wieskamp,22.0,SG,29,0,205,5,59,35,2,0,-1.1,-1.2,2,0,8,0,6,1,22,0,2,,SAS,2022
18.0,Devontae Cacok,25.0,PF,15,0,121,0,0,0,93,7,-2.6,-2.8,2,0,11,1,3,0,13,1,2,,SAS,2022
19.0,Tyler Johnson,29.0,PG,3,0,53,100,0,0,0,0,-16.8,-17.2,1,0,2,0,0,2,11,0,0,,SAS,2022
20.0,Juancho HernangÃ³mez,26.0,PF,5,0,51,0,0,0,64,37,3.3,3.3,2,0,0,0,2,0,8,0,0,,SAS,2022
21.0,Romeo Langford,22.0,SG,4,0,43,0,64,36,0,0,13.0,13.0,0,0,1,0,2,2,4,0,0,,SAS,2022
22.0,Jaylen Morris,26.0,SG,3,0,16,59,41,0,0,0,14.3,14.2,0,1,1,0,1,0,6,0,1,,SAS,2022
23.0,TomÃ¡Å¡ SatoranskÃ½,30.0,SF,1,0,9,0,0,41,60,0,19.3,19.2,0,0,0,0,2,0,0,0,0,,SAS,2022
24.0,Anthony Lamb,24.0,SF,2,0,8,0,0,50,50,0,25.8,25.8,0,0,0,0,0,0,5,0,1,,SAS,2022
,Team Totals,,,82,82,19807,20,20,20,20,20,0.1,0.5,520,263,788,124,739,146,5422,177,403,,SAS,2022
