G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 25, 2023",9:30p,,Box Score,,Dallas Mavericks,L,,119,126,0,1,L 1,18947,2:20,,SAS,2024
2,"Fri, Oct 27, 2023",8:00p,,Box Score,,Houston Rockets,W,OT,126,122,1,1,W 1,18354,2:38,,SAS,2024
3,"Sun, Oct 29, 2023",9:00p,,Box Score,@,Los Angeles Clippers,L,,83,123,1,2,L 1,19370,2:06,,SAS,2024
4,"Tue, Oct 31, 2023",10:00p,,Box Score,@,Phoenix Suns,W,,115,114,2,2,W 1,17071,2:28,,SAS,2024
5,"Thu, Nov 2, 2023",10:00p,,Box Score,@,Phoenix Suns,W,,132,121,3,2,W 2,17071,2:17,,SAS,2024
6,"Sun, Nov 5, 2023",3:30p,,Box Score,,Toronto Raptors,L,OT,116,123,3,3,L 1,18354,2:36,,SAS,2024
7,"Mon, Nov 6, 2023",7:00p,,Box Score,@,Indiana Pacers,L,,111,152,3,4,L 2,15129,2:12,,SAS,2024
8,"Wed, Nov 8, 2023",7:30p,,Box Score,@,New York Knicks,L,,105,126,3,5,L 3,19812,2:12,,SAS,2024
9,"Fri, Nov 10, 2023",8:00p,,Box Score,,Minnesota Timberwolves,L,,110,117,3,6,L 4,18354,2:17,In-Season Tournament,SAS,2024
10,"Sun, Nov 12, 2023",7:00p,,Box Score,,Miami Heat,L,,113,118,3,7,L 5,18036,2:07,,SAS,2024
11,"Tue, Nov 14, 2023",7:30p,,Box Score,@,Oklahoma City Thunder,L,,87,123,3,8,L 6,18203,2:17,In-Season Tournament,SAS,2024
12,"Fri, Nov 17, 2023",7:30p,,Box Score,,Sacramento Kings,L,,120,129,3,9,L 7,18354,2:20,In-Season Tournament,SAS,2024
13,"Sat, Nov 18, 2023",8:00p,,Box Score,,Memphis Grizzlies,L,,108,120,3,10,L 8,18354,2:18,,SAS,2024
14,"Mon, Nov 20, 2023",8:00p,,Box Score,,Los Angeles Clippers,L,,99,124,3,11,L 9,18354,2:05,,SAS,2024
15,"Wed, Nov 22, 2023",8:00p,,Box Score,,Los Angeles Clippers,L,,102,109,3,12,L 10,18354,2:16,,SAS,2024
16,"Fri, Nov 24, 2023",10:00p,,Box Score,@,Golden State Warriors,L,,112,118,3,13,L 11,18064,2:35,In-Season Tournament,SAS,2024
