Rk,Unnamed: 1,Salary,Team,Season
1,De'Aaron Fox,"$34,848,340",SAS,2025
2,Devin Vassell,"$29,347,826",SAS,2025
3,Keldon Johnson,"$19,000,000",SAS,2025
4,Harrison Barnes,"$18,000,000",SAS,2025
5,Victor Wembanyama,"$12,768,960",SAS,2025
6,Chris Paul,"$10,460,000",SAS,2025
7,Stephon Castle,"$9,105,120",SAS,2025
8,Jeremy Sochan,"$5,570,040",SAS,2025
9,Jalen McDaniels,"$4,741,800",SAS,2025
10,Malaki Branham,"$3,217,920",SAS,2025
11,Julian Champagnie,"$3,000,000",SAS,2025
12,Blake Wesley,"$2,624,280",SAS,2025
13,Patrick Baldwin,"$2,448,840",SAS,2025
14,Jordan McLaughlin,"$2,087,519",SAS,2025
15,Charles Bassey,"$2,087,519",SAS,2025
16,Sandro Mamukelashvili,"$2,087,519",SAS,2025
17,Bismack Biyombo,"$503,884",SAS,2025
18,Bismack Biyombo,"$143,967",SAS,2025
19,Bismack Biyombo,"$143,967",SAS,2025
20,Riley Minix,,SAS,2025
21,David Duke,,SAS,2025
22,Harrison Ingram,,SAS,2025
