No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
3,OG Anunoby,SF,6-7,240,"July 17, 1997",gb GB,3,Indiana,TOR,2021
46,Aron Baynes,C,6-10,260,"December 9, 1986",nz NZ,8,Washington State,TOR,2021
95,DeAndre' Bembry,SF,6-5,210,"July 4, 1994",us US,4,Saint Joseph's,TOR,2021
24,Khem Birch,C,6-8,233,"September 28, 1992",ca CA,3,"Pitt, UNLV",TOR,2021
25,Chris Boucher,C,6-8,200,"January 11, 1993",lc LC,3,"New Mexico Junior College, Northwest College, Oregon",TOR,2021
0,Terence Davis,SG,6-4,201,"May 16, 1997",us US,1,Ole Miss,TOR,2021
44,Henry Ellenson,PF,6-10,240,"January 13, 1997",us US,4,Marquette,TOR,2021
8,Malachi Flynn,PG,6-1,185,"May 10, 1998",us US,R,"Washington State, San Diego State",TOR,2021
55,Freddie Gillespie,PF,6-9,245,"June 14, 1997",us US,R,"Carleton College, Baylor",TOR,2021
2,Jalen Harris,SG,6-5,195,"August 14, 1998",us US,R,"Nevada, Louisiana Tech",TOR,2021
32,Rodney Hood,SF,6-8,208,"October 20, 1992",us US,6,"Mississippi State, Duke",TOR,2021
5,Stanley Johnson,PF,6-6,242,"May 29, 1996",us US,5,Arizona,TOR,2021
27,Alex Len,C,7-0,250,"June 16, 1993",ua UA,7,Maryland,TOR,2021
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,14,Villanova,TOR,2021
22,Patrick McCaw,SF,6-7,181,"October 25, 1995",us US,4,UNLV,TOR,2021
24,Norman Powell,SG,6-3,215,"May 25, 1993",us US,5,UCLA,TOR,2021
43,Pascal Siakam,PF,6-8,245,"April 2, 1994",cm CM,4,New Mexico State,TOR,2021
21,Matt Thomas,SG,6-3,190,"August 4, 1994",us US,1,Iowa State,TOR,2021
33,Gary Trent Jr.,SG,6-5,204,"January 18, 1999",us US,2,Duke,TOR,2021
23,Fred VanVleet,SG,6-0,197,"February 25, 1994",us US,4,Wichita State,TOR,2021
18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp JP,2,George Washington,TOR,2021
1,Paul Watson,SF,6-6,210,"December 30, 1994",us US,1,Fresno State,TOR,2021
