Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Scottie Barnes,20.0,PF,74,74,2617,0,4,41,49,6,1.5,-2.0,82,25,81,12,106,16,622,30,38,ROY-1,TOR,2022
2.0,Pascal Siakam,27.0,PF,68,68,2578,0,0,9,58,33,4.5,6.6,91,49,95,27,180,6,891,49,61,NBA3,TOR,2022
3.0,Fred VanVleet,27.0,PG,65,65,2462,97,3,0,0,0,3.8,4.1,105,44,64,10,78,21,1022,17,48,AS,TOR,2022
4.0,Gary Trent Jr.,23.0,SG,70,69,2448,13,84,2,0,0,3.3,3.0,29,22,48,16,67,16,351,13,44,,TOR,2022
5.0,OG Anunoby,24.0,SF,48,48,1728,3,27,61,9,0,3.9,3.1,37,24,54,11,45,5,309,9,47,,TOR,2022
6.0,Precious Achiuwa,22.0,C,73,28,1725,0,0,0,2,98,2.2,0.0,19,26,70,24,62,10,200,15,50,,TOR,2022
7.0,Chris Boucher,29.0,SF,80,9,1690,1,25,52,22,1,5.7,6.0,11,13,119,7,90,22,64,21,43,,TOR,2022
8.0,Khem Birch,29.0,C,55,28,991,0,0,0,0,100,0.1,-2.7,10,6,50,10,33,3,139,8,12,,TOR,2022
9.0,Svi Mykhailiuk,24.0,SF,56,5,716,3,37,54,5,1,-6.5,-10.7,14,11,24,2,15,6,110,2,11,,TOR,2022
10.0,Dalano Banton,22.0,PG,64,1,696,56,43,1,0,0,2.0,-0.2,20,14,29,9,19,1,240,3,16,,TOR,2022
11.0,Malachi Flynn,23.0,PG,44,5,537,100,0,0,0,0,-2.1,-5.0,10,1,21,2,9,3,174,3,10,,TOR,2022
12.0,Thaddeus Young,33.0,PF,26,0,475,0,0,0,76,23,6.0,4.4,14,7,27,1,16,7,107,5,11,,TOR,2022
13.0,Yuta Watanabe,27.0,SF,38,4,445,1,6,33,49,12,-4.6,-7.7,9,6,17,2,19,3,51,4,7,,TOR,2022
14.0,Justin Champagnie,20.0,SF,36,0,281,9,54,36,0,0,8.1,6.4,1,2,15,1,4,1,28,1,4,,TOR,2022
15.0,Armoni Brooks,23.0,PG,13,3,154,75,25,0,0,0,-5.2,-7.7,2,0,11,0,1,1,34,0,0,,TOR,2022
16.0,Goran DragiÄ,35.0,PG,5,2,90,61,39,0,0,0,-12.9,-15.4,0,1,2,0,2,1,23,0,2,,TOR,2022
17.0,Isaac Bonga,22.0,SF,15,0,69,0,28,57,16,0,-20.3,-22.9,1,1,4,0,3,0,11,0,2,,TOR,2022
18.0,D.J. Wilson,25.0,PF,4,1,54,0,0,0,16,84,-13.9,-16.3,2,0,4,0,1,0,11,0,1,,TOR,2022
19.0,Tremont Waters,24.0,PG,2,0,42,100,0,0,0,0,-26.7,-29.3,2,2,2,0,0,0,16,0,0,,TOR,2022
20.0,Juwan Morgan,24.0,PF,1,0,27,0,0,30,58,12,-45.5,-48.0,0,0,1,0,0,0,2,0,0,,TOR,2022
21.0,Daniel Oturu,22.0,C,3,0,27,0,0,0,0,100,-42.1,-44.6,0,0,1,0,3,0,0,1,2,,TOR,2022
22.0,David Johnson,20.0,SG,2,0,2,0,100,0,0,0,-50.0,-52.2,0,0,0,0,0,0,0,0,0,,TOR,2022
23.0,Sam Dekker,27.0,PF,1,0,1,0,0,0,0,100,-250.0,-252.2,0,0,0,0,0,0,0,0,0,,TOR,2022
,Team Totals,,,82,82,19855,20,20,20,20,20,2.2,1.2,459,254,739,134,753,122,4405,181,409,,TOR,2022
