Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Scottie Barnes,21.0,SF,77,76,2678,15.5,0.524,0.22,0.242,7.1,15.2,10.8,20.0,1.5,2.2,12.0,20.3,2.3,2.7,5.0,0.09,0.5,-0.1,0.4,1.6,,TOR,2023
2.0,Pascal Siakam,28.0,PF,71,71,2652,20.3,0.565,0.219,0.361,5.2,19.6,11.9,24.9,1.2,1.3,10.0,27.2,5.2,2.6,7.8,0.141,3.3,-0.1,3.1,3.4,AS,TOR,2023
3.0,Fred VanVleet,28.0,PG,69,69,2535,17.0,0.54,0.545,0.254,1.2,12.0,6.3,28.1,2.4,1.5,10.2,23.2,3.7,2.8,6.5,0.123,2.0,0.5,2.5,2.9,,TOR,2023
4.0,OG Anunoby,25.0,SF,67,67,2386,14.6,0.586,0.415,0.189,4.2,12.1,7.9,8.0,2.7,2.0,12.1,19.5,1.8,2.9,4.7,0.094,-0.3,0.7,0.4,1.5,"DPOY-7,DEF2",TOR,2023
5.0,Gary Trent Jr.,24.0,SG,66,44,2118,15.0,0.56,0.481,0.219,1.5,8.2,4.6,7.4,2.4,0.6,5.1,21.7,2.5,2.0,4.5,0.102,0.2,0.0,0.2,1.2,,TOR,2023
6.0,Chris Boucher,30.0,PF,76,0,1523,18.0,0.59,0.357,0.318,10.9,21.2,15.7,2.7,1.5,4.1,6.4,18.0,3.0,2.0,5.0,0.156,0.7,-0.8,-0.1,0.7,,TOR,2023
7.0,Precious Achiuwa,23.0,C,55,12,1140,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,,TOR,2023
8.0,Christian Koloko,22.0,C,58,19,802,11.4,0.517,0.08,0.393,11.1,13.3,12.1,5.0,1.3,6.9,10.2,10.4,0.7,1.0,1.7,0.104,-4.3,0.8,-3.5,-0.3,,TOR,2023
9.0,Thaddeus Young,34.0,PF,54,9,795,14.1,0.573,0.172,0.131,9.4,14.6,11.8,12.9,3.4,0.6,16.7,13.5,0.7,1.1,1.8,0.109,-1.8,1.9,0.1,0.4,,TOR,2023
10.0,Jakob Poeltl,27.0,C,26,25,707,23.1,0.652,0.0,0.313,12.5,26.4,19.0,12.1,2.1,4.7,10.0,17.5,1.9,1.2,3.1,0.209,2.2,1.5,3.6,1.0,,TOR,2023
11.0,Malachi Flynn,24.0,PG,53,2,691,8.7,0.479,0.55,0.136,2.3,10.8,6.2,13.7,1.5,0.6,8.9,17.4,0.0,0.5,0.5,0.034,-3.3,-0.8,-4.1,-0.4,,TOR,2023
12.0,Juancho HernangÃ³mez,27.0,PF,42,10,614,7.6,0.504,0.588,0.14,4.6,19.1,11.3,5.2,1.3,0.9,11.0,9.4,0.1,0.6,0.7,0.053,-3.5,0.2,-3.3,-0.2,,TOR,2023
13.0,Dalano Banton,23.0,PG,31,2,279,14.9,0.505,0.392,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,0.0,0.4,0.4,0.064,-1.1,0.6,-0.5,0.1,,TOR,2023
14.0,Jeff Dowtin Jr.,25.0,PG,25,0,259,9.9,0.5,0.281,0.158,2.4,8.0,5.0,15.5,1.7,1.1,7.6,10.9,0.2,0.2,0.4,0.076,-2.8,0.9,-1.9,0.0,,TOR,2023
15.0,Will Barton,32.0,SG,16,2,211,9.9,0.451,0.532,0.025,2.5,12.2,7.0,11.0,2.6,1.4,3.6,16.7,0.0,0.2,0.2,0.051,-2.9,0.5,-2.5,0.0,,TOR,2023
16.0,Khem Birch,30.0,C,20,0,162,9.4,0.629,0.063,0.156,5.2,12.8,8.7,5.8,1.5,3.0,19.0,11.1,0.1,0.2,0.2,0.072,-4.6,1.1,-3.5,-0.1,,TOR,2023
17.0,Otto Porter Jr.,29.0,SF,8,2,146,14.0,0.656,0.567,0.267,4.3,10.9,7.4,7.2,3.7,0.0,10.7,11.0,0.2,0.2,0.4,0.142,-1.3,2.0,0.7,0.1,,TOR,2023
18.0,Joe Wieskamp,23.0,SF,9,0,50,-0.4,0.321,0.857,0.0,0.0,9.8,4.5,7.4,0.0,0.0,6.7,12.8,-0.1,0.0,-0.1,-0.076,-7.0,-3.6,-10.6,-0.1,,TOR,2023
19.0,Ron Harper Jr.,22.0,PF,9,0,48,15.7,0.608,0.563,0.063,6.6,10.2,8.3,11.9,0.0,2.0,0.0,14.6,0.1,0.0,0.2,0.158,2.4,-1.2,1.2,0.0,,TOR,2023
20.0,Justin Champagnie,21.0,SF,3,0,11,28.9,1.0,0.0,0.0,9.6,33.3,20.6,15.3,0.0,0.0,0.0,11.6,0.1,0.0,0.1,0.332,6.1,1.9,8.1,0.0,,TOR,2023
,Team Totals,,,82,82,19807,,0.555,0.351,0.257,,,,,,,,,23.2,22.0,45.2,0.11,0.2,0.2,0.4,11.9,,TOR,2023
