Rk,Unnamed: 1,Salary,Team,Season
1,Pascal Siakam,"$35,448,672",TOR,2023
2,Fred VanVleet,"$21,250,000",TOR,2023
3,Gary Trent,"$17,505,000",TOR,2023
4,OG Anunoby,"$17,357,143",TOR,2023
5,Chris Boucher,"$12,690,000",TOR,2023
6,Jakob Poeltl,"$9,398,148",TOR,2023
7,Thaddeus Young,"$8,000,000",TOR,2023
8,Scottie Barnes,"$7,644,600",TOR,2023
9,Otto Porter,"$6,000,000",TOR,2023
10,Precious Achiuwa,"$2,840,160",TOR,2023
11,Malachi Flynn,"$2,145,720",TOR,2023
12,Svi Mykhailiuk,"$1,878,720",TOR,2023
13,Juancho HernangÃ³mez,"$1,836,090",TOR,2023
14,Dalano Banton,"$1,563,518",TOR,2023
15,Christian Koloko,"$1,500,000",TOR,2023
16,Justin Champagnie,"$825,000",TOR,2023
17,Joe Wieskamp,"$545,989",TOR,2023
18,Will Barton,"$432,642",TOR,2023
19,D.J. Wilson,"$250,000",TOR,2023
20,Ish Wainright,"$125,000",TOR,2023
21,Joe Wieskamp,"$94,136",TOR,2023
22,Joe Wieskamp,"$94,136",TOR,2023
23,Armoni Brooks,"$50,000",TOR,2023
24,Saben Lee,"$10,492",TOR,2023
25,Jeff Dowtin,,TOR,2023
26,Ron Harper,,TOR,2023
