Rk,Unnamed: 1,Salary,Team,Season
1,Rudy Gobert,"$35,344,828",UTA,2022
2,Donovan Mitchell,"$28,103,500",UTA,2022
3,Mike Conley,"$21,000,000",UTA,2022
4,Bojan BogdanoviÄ,"$18,502,000",UTA,2022
5,Jordan Clarkson,"$12,420,000",UTA,2022
6,Royce O'Neale,"$8,800,000",UTA,2022
7,Juancho HernangÃ³mez,"$6,175,440",UTA,2022
8,Rudy Gay,"$5,890,000",UTA,2022
9,Nickeil Alexander-Walker,"$3,261,480",UTA,2022
10,Hassan Whiteside,"$2,401,537",UTA,2022
11,Udoka Azubuike,"$2,075,880",UTA,2022
12,Eric Paschall,"$1,782,621",UTA,2022
13,Danuel House,"$991,967",UTA,2022
14,Jared Butler,"$925,258",UTA,2022
15,Greg Monroe,"$138,019",UTA,2022
16,Denzel Valentine,"$111,457",UTA,2022
17,Norvel Pelle,"$95,930",UTA,2022
18,Zylan Cheatham,"$89,057",UTA,2022
19,Jarrell Brantley,"$84,414",UTA,2022
20,Trent Forrest,"$8,558",UTA,2022
21,Malik Fitts,$0,UTA,2022
22,Justin James,$0,UTA,2022
23,Xavier Sneed,$0,UTA,2022
