No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
30,Ochai Agbaji,SG,6-5,215,"April 20, 2000",us US,R,Kansas,UTA,2023
6,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,3,Virginia Tech,UTA,2023
20,Udoka Azubuike,C,6-11,270,"September 17, 1999",ng NG,2,Kansas,UTA,2023
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,6,Florida State,UTA,2023
10,Leandro Bolmaro,SF,6-6,200,"September 11, 2000",ar AR,1,,UTA,2023
55,Jarrell Brantley,PF,6-5,250,"June 7, 1996",us US,2,College of Charleston,UTA,2023
0,Jordan Clarkson,SG,6-5,194,"June 7, 1992",us US,8,"Tulsa, Missouri",UTA,2023
11,Mike Conley,PG,6-1,175,"October 11, 1987",us US,15,Ohio State,UTA,2023
11,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,6,Providence,UTA,2023
16,Simone Fontecchio,SF,6-7,209,"December 9, 1995",it IT,R,,UTA,2023
22,Rudy Gay,PF,6-8,250,"August 17, 1986",us US,16,UConn,UTA,2023
0,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us US,3,Iowa State,UTA,2023
3,Frank Jackson,PG,6-3,205,"May 4, 1998",us US,4,Duke,UTA,2023
15,Damian Jones,C,6-10,245,"June 30, 1995",us US,6,Vanderbilt,UTA,2023
33,Johnny Juzang,SG,6-7,226,"March 17, 2001",us US,R,"Kentucky, UCLA",UTA,2023
24,Walker Kessler,C,7-2,245,"July 26, 2001",us US,R,"UNC, Auburn",UTA,2023
23,Lauri Markkanen,PF,7-1,240,"May 22, 1997",fi FI,5,Arizona,UTA,2023
41,Kelly Olynyk,C,7-0,240,"April 19, 1991",ca CA,9,Gonzaga,UTA,2023
25,Micah Potter,PF,6-9,248,"April 6, 1998",us US,1,"Ohio State, Wisconsin",UTA,2023
19,Luka Å amaniÄ,PF,6-10,227,"January 9, 2000",hr HR,2,,UTA,2023
2,Collin Sexton,PG,6-3,190,"January 4, 1999",us US,4,Alabama,UTA,2023
95,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us US,3,Marquette,UTA,2023
8,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,4,Kentucky,UTA,2023
