Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Keyonte George,21.0,PG,67,35,2109,99,1,0,0,0,-11.5,-5.0,105,52,43,8,127,22,910,32,71,,UTA,2025
2.0,Isaiah Collier,20.0,PG,71,46,1839,62,38,0,0,0,-10.5,-2.4,124,47,71,19,68,8,1104,17,55,,UTA,2025
3.0,Collin Sexton,26.0,SG,63,61,1758,20,73,7,0,0,-7.4,3.3,73,62,73,8,117,9,647,30,75,,UTA,2025
4.0,Walker Kessler,23.0,C,58,58,1740,0,0,0,0,100,-8.8,0.7,25,33,81,21,79,2,243,28,41,,UTA,2025
5.0,Kyle Filipowski,21.0,C,72,27,1522,0,0,0,17,83,-11.0,-3.0,45,30,99,16,73,4,335,19,40,,UTA,2025
6.0,Lauri Markkanen,27.0,PF,47,47,1476,0,0,9,82,9,-6.5,4.2,20,29,39,12,68,8,179,13,39,,UTA,2025
7.0,Brice Sensabaugh,21.0,SF,71,15,1432,0,2,53,44,1,-10.6,-2.1,62,25,55,7,37,3,260,13,27,,UTA,2025
8.0,Johnny Juzang,23.0,SG,64,18,1270,1,34,59,6,0,-13.2,-5.9,15,13,81,4,21,4,171,7,15,,UTA,2025
9.0,John Collins,27.0,PF,40,31,1220,0,0,43,55,3,-0.3,12.8,36,34,60,21,83,3,198,23,54,,UTA,2025
10.0,Cody Williams,20.0,SG,50,21,1060,3,33,62,2,0,-14.5,-7.3,16,20,52,3,20,2,149,4,17,,UTA,2025
11.0,Jordan Clarkson,32.0,SG,37,9,962,3,78,18,0,0,-10.2,-1.4,37,34,24,6,58,2,333,14,37,,UTA,2025
12.0,Svi Mykhailiuk,27.0,SF,38,13,760,0,20,55,24,1,-7.0,2.7,31,14,21,0,17,4,183,5,16,,UTA,2025
13.0,Micah Potter,26.0,C,38,10,705,0,0,0,48,52,-7.8,1.7,11,8,32,4,9,4,78,2,5,,UTA,2025
14.0,Drew Eubanks,27.0,C,37,4,568,0,0,1,46,54,-9.4,-0.3,14,9,28,5,25,2,113,2,14,,UTA,2025
15.0,KJ Martin,24.0,SF,19,9,432,0,7,62,30,1,-18.5,-10.4,7,4,23,0,11,0,72,6,8,,UTA,2025
16.0,Patty Mills,36.0,PG,17,0,260,100,0,0,0,0,-0.9,8.8,14,2,7,0,1,7,51,0,2,,UTA,2025
17.0,Oscar Tshiebwe,25.0,C,14,1,255,0,0,3,59,38,-1.0,8.8,3,2,12,1,19,1,23,7,10,,UTA,2025
18.0,Jaden Springer,22.0,PG,17,2,224,21,68,11,0,0,-8.2,1.1,6,6,10,0,8,3,54,1,1,,UTA,2025
19.0,Elijah Harkless,24.0,SG,10,0,138,3,46,51,0,0,9.9,19.8,1,0,8,1,3,4,22,0,0,,UTA,2025
20.0,Taylor Hendricks,21.0,PF,3,3,75,0,0,72,28,0,-13.1,-4.0,2,0,5,0,2,0,4,0,0,,UTA,2025
,Team Totals,,,82,82,19805,20,20,20,20,20,-9.2,-0.2,647,424,824,136,846,92,5129,223,527,,UTA,2025
