Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Team,Season
1.0,Ace Bailey,19.0,SF,72,61,1988,11.6,0.533,0.446,0.099,5.5,11.0,8.2,9.7,1.4,2.4,10.3,21.4,-0.4,0.3,-0.1,-0.001,-1.9,-2.5,-4.4,-1.2,,UTA,2026
2.0,Kyle Filipowski,22.0,C,77,41,1801,16.0,0.586,0.347,0.323,8.4,25.1,16.6,15.7,1.9,2.1,14.3,20.0,1.8,1.3,3.1,0.082,-0.6,-0.5,-1.1,0.4,,UTA,2026
3.0,Keyonte George,22.0,PG,54,54,1786,18.5,0.609,0.41,0.429,1.4,10.9,6.0,28.4,1.5,0.8,13.7,27.9,3.1,0.1,3.3,0.088,3.0,-2.1,0.9,1.3,,UTA,2026
4.0,Brice Sensabaugh,22.0,SF,75,22,1762,14.4,0.59,0.516,0.235,3.4,11.0,7.1,12.4,1.4,0.7,11.6,24.9,1.0,0.1,1.1,0.029,0.4,-3.0,-2.6,-0.3,,UTA,2026
5.0,Cody Williams,21.0,SG,67,41,1631,9.6,0.524,0.257,0.234,3.9,9.3,6.6,11.4,1.5,1.5,11.5,16.0,0.0,0.1,0.1,0.004,-3.6,-1.9,-5.5,-1.5,,UTA,2026
6.0,Isaiah Collier,21.0,PG,59,19,1517,14.8,0.567,0.194,0.406,1.5,9.4,5.3,39.2,2.0,1.3,19.6,20.4,1.3,0.3,1.7,0.053,-0.7,-1.8,-2.4,-0.2,,UTA,2026
7.0,Lauri Markkanen,28.0,PF,42,42,1443,21.1,0.608,0.402,0.333,6.1,15.7,10.8,10.1,1.4,1.4,6.4,28.1,3.2,0.3,3.5,0.118,4.6,-2.0,2.6,1.6,,UTA,2026
8.0,Svi Mykhailiuk,28.0,SF,50,41,1156,11.4,0.626,0.663,0.077,3.3,8.4,5.8,11.0,1.1,0.3,10.1,14.8,1.3,-0.2,1.1,0.048,0.3,-2.0,-1.7,0.1,,UTA,2026
9.0,Jusuf NurkiÄ,31.0,C,41,36,1083,16.4,0.548,0.198,0.316,10.3,32.6,21.2,25.4,2.3,2.0,19.9,19.3,0.4,1.1,1.5,0.068,-0.5,1.6,1.1,0.9,,UTA,2026
10.0,Walter Clayton,22.0,PG,45,0,811,10.4,0.54,0.559,0.242,1.9,10.0,5.9,23.4,1.4,1.4,16.8,17.2,0.3,0.1,0.3,0.019,-1.9,-1.4,-3.2,-0.2,,UTA,2026
11.0,John Konchar,29.0,SG,26,7,680,14.0,0.54,0.469,0.242,8.4,15.3,11.8,14.4,3.6,3.6,12.9,9.8,0.8,0.6,1.4,0.1,-1.4,1.4,0.0,0.3,,UTA,2026
12.0,Kevin Love,37.0,PF,37,5,613,14.7,0.568,0.714,0.221,9.5,28.9,18.9,14.6,1.1,1.4,12.1,16.6,0.8,0.3,1.1,0.088,1.1,-0.9,0.2,0.3,,UTA,2026
13.0,Elijah Harkless,25.0,SG,26,9,545,9.1,0.471,0.547,0.398,1.9,8.7,5.3,17.6,2.7,1.1,12.1,16.2,-0.1,0.2,0.1,0.005,-4.9,-0.7,-5.6,-0.5,,UTA,2026
14.0,Taylor Hendricks,22.0,PF,33,6,492,10.2,0.574,0.547,0.25,6.2,15.8,10.9,6.4,1.2,1.6,12.3,13.5,0.3,0.1,0.4,0.034,-1.8,-1.7,-3.5,-0.2,,UTA,2026
15.0,Bez Mbeng,22.0,SG,15,5,492,10.5,0.55,0.31,0.25,3.9,8.8,6.3,16.2,3.2,1.0,16.5,11.1,0.2,0.2,0.5,0.047,-5.0,0.1,-4.9,-0.4,,UTA,2026
16.0,Oscar Tshiebwe,26.0,C,27,6,448,20.2,0.633,0.0,0.338,18.1,25.2,21.6,10.6,1.7,1.1,11.2,17.2,1.1,0.3,1.3,0.141,1.0,-2.8,-1.8,0.0,,UTA,2026
17.0,Kyle Anderson,32.0,SF,20,0,401,14.2,0.565,0.046,0.349,5.0,13.0,8.9,20.6,2.7,2.4,11.9,14.6,0.5,0.2,0.7,0.087,-1.0,0.7,-0.3,0.2,,UTA,2026
18.0,Kennedy Chandler,23.0,PG,11,2,355,13.0,0.529,0.277,0.314,1.8,9.7,5.6,29.4,1.5,0.5,12.9,20.7,0.2,0.0,0.2,0.029,-2.5,-3.1,-5.7,-0.3,,UTA,2026
19.0,Blake Hinson,26.0,SF,14,3,285,16.5,0.684,0.687,0.139,4.1,8.6,6.3,8.3,0.8,0.7,3.9,18.3,0.7,0.0,0.7,0.112,2.5,-3.0,-0.6,0.1,,UTA,2026
20.0,Andersson Garcia,25.0,SF,5,2,169,8.3,0.394,0.448,0.31,10.6,16.4,13.4,10.0,2.2,2.3,17.5,9.7,0.0,0.1,0.1,0.014,-5.2,-0.5,-5.7,-0.2,,UTA,2026
21.0,Walker Kessler,24.0,C,5,5,154,20.6,0.786,0.216,0.541,15.7,22.3,18.9,13.7,2.1,5.6,25.9,16.5,0.3,0.1,0.5,0.148,1.6,1.7,3.3,0.2,,UTA,2026
22.0,Vince Williams Jr.,25.0,SG,6,0,84,9.8,0.47,0.643,0.143,6.3,18.5,12.2,25.0,1.1,2.3,19.0,18.0,0.0,0.0,0.0,-0.013,-1.8,-0.2,-2.0,0.0,,UTA,2026
23.0,Jaren Jackson Jr.,26.0,C,3,3,72,23.2,0.598,0.306,0.327,1.5,18.5,9.8,20.3,3.9,1.3,11.1,36.0,0.1,0.1,0.1,0.082,2.4,2.2,4.6,0.1,,UTA,2026
24.0,Mo Bamba,27.0,C,2,0,38,15.4,0.556,0.0,0.0,25.0,32.1,28.4,3.5,0.0,5.1,18.2,11.9,0.0,0.0,0.1,0.09,-2.1,-3.8,-5.9,0.0,,UTA,2026
25.0,Hayden Gray,22.0,SG,1,0,25,9.4,0.773,0.333,0.667,0.0,0.0,0.0,5.0,1.9,3.9,20.5,8.0,0.0,0.0,0.0,0.044,-3.7,-1.6,-5.3,0.0,,UTA,2026
,Team Totals,,,82,82,19831,,0.575,0.402,0.277,,,,,,,,,16.9,5.8,22.7,0.055,-0.4,-1.5,-1.9,0.7,,UTA,2026
