Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Russell Westbrook,32.0,PG,65,65,2369,50,48,3,0,0,-1.5,1.3,212,65,58,17,197,10,1767,46,73,MVP-11,WAS,2021
2.0,Bradley Beal,27.0,SG,60,60,2147,1,73,26,0,0,-0.6,3.2,88,65,73,18,206,15,617,66,60,"AS,NBA3",WAS,2021
3.0,Rui Hachimura,22.0,PF,57,57,1797,0,0,27,71,2,-2.7,-1.8,17,27,57,11,76,5,203,18,54,,WAS,2021
4.0,DÄvis BertÄns,28.0,PF,57,7,1464,0,0,0,95,5,1.8,6.4,16,8,60,6,30,10,110,10,6,,WAS,2021
5.0,Raul Neto,28.0,PG,64,22,1403,87,13,0,0,0,-0.6,2.1,28,14,65,4,34,37,345,4,31,,WAS,2021
6.0,Robin Lopez,32.0,C,71,9,1354,0,0,0,0,100,-1.8,0.0,13,20,62,24,57,8,135,17,26,,WAS,2021
7.0,Deni Avdija,20.0,SF,54,32,1257,0,1,73,27,0,-2.5,-1.1,17,7,82,3,21,7,145,6,16,,WAS,2021
8.0,Garrison Mathews,24.0,SG,64,24,1038,2,20,73,4,0,-5.5,-5.2,5,4,54,1,32,43,65,5,9,,WAS,2021
9.0,Ish Smith,32.0,PG,44,1,924,100,0,0,0,0,2.4,5.7,24,12,33,2,15,20,416,3,10,,WAS,2021
10.0,Alex Len,27.0,C,57,40,903,0,0,0,0,100,-3.9,-2.8,14,15,75,14,59,1,114,10,19,,WAS,2021
11.0,Isaac Bonga,21.0,SF,40,8,432,0,2,62,36,0,-1.5,0.4,9,4,29,2,4,9,52,2,1,,WAS,2021
12.0,Daniel Gafford,22.0,C,23,0,408,0,0,0,0,100,7.0,10.1,8,7,34,3,35,7,26,10,7,,WAS,2021
13.0,Moritz Wagner,23.0,C,25,13,375,0,0,0,0,100,2.4,4.7,8,3,36,7,23,14,81,7,11,,WAS,2021
14.0,Jerome Robinson,23.0,SG,17,6,305,13,78,9,0,0,-15.6,-15.1,13,3,19,1,10,9,59,3,5,,WAS,2021
15.0,Troy Brown Jr.,21.0,SF,21,0,287,0,26,65,10,0,-8.4,-7.1,7,4,11,4,8,2,48,3,3,,WAS,2021
16.0,Chandler Hutchison,24.0,SF,18,1,282,0,13,69,18,0,-9.1,-7.9,4,3,11,3,12,3,32,3,6,,WAS,2021
17.0,Thomas Bryant,23.0,C,10,10,271,0,0,0,0,100,-3.3,-1.6,2,4,18,4,16,3,35,10,2,,WAS,2021
18.0,Anthony Gill,28.0,PF,26,4,218,0,3,12,74,12,0.1,2.1,1,4,10,2,5,6,25,2,5,,WAS,2021
19.0,Cassius Winston,22.0,PG,22,0,98,87,12,1,0,0,-23.8,-22.5,3,2,4,0,2,0,26,0,1,,WAS,2021
20.0,Jordan Bell,26.0,C,5,1,67,0,0,0,63,37,-23.2,-21.8,1,1,4,0,0,1,12,0,3,,WAS,2021
21.0,AnÅ¾ejs PaseÄÅiks,25.0,C,1,0,6,0,0,0,0,100,-100.0,-98.3,2,1,0,2,0,0,2,0,0,,WAS,2021
,Team Totals,,,72,72,17405,20,20,20,20,20,-1.9,0.5,492,273,795,128,842,210,4315,225,348,,WAS,2021
