G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 19, 2022",7:00p,,Box Score,@,Indiana Pacers,W,,114,107,1,0,W 1,15027,2:22,,WAS,2023
2,"Fri, Oct 21, 2022",7:00p,,Box Score,,Chicago Bulls,W,,102,100,2,0,W 2,20476,2:15,,WAS,2023
3,"Sun, Oct 23, 2022",7:00p,,Box Score,@,Cleveland Cavaliers,L,OT,107,117,2,1,L 1,19432,2:34,,WAS,2023
4,"Tue, Oct 25, 2022",7:00p,,Box Score,,Detroit Pistons,W,,120,99,3,1,W 1,13196,2:13,,WAS,2023
5,"Fri, Oct 28, 2022",7:30p,,Box Score,,Indiana Pacers,L,,117,127,3,2,L 1,13463,2:25,,WAS,2023
6,"Sun, Oct 30, 2022",6:00p,,Box Score,@,Boston Celtics,L,,94,112,3,3,L 2,19156,2:00,,WAS,2023
7,"Mon, Oct 31, 2022",7:00p,,Box Score,,Philadelphia 76ers,L,,111,118,3,4,L 3,13746,2:14,,WAS,2023
8,"Wed, Nov 2, 2022",6:00p,,Box Score,@,Philadelphia 76ers,W,,121,111,4,4,W 1,19855,2:14,,WAS,2023
9,"Fri, Nov 4, 2022",7:00p,,Box Score,,Brooklyn Nets,L,,86,128,4,5,L 1,17258,2:06,,WAS,2023
10,"Sun, Nov 6, 2022",6:00p,,Box Score,@,Memphis Grizzlies,L,,97,103,4,6,L 2,16877,2:07,,WAS,2023
11,"Mon, Nov 7, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,,108,100,5,6,W 1,13712,2:12,,WAS,2023
12,"Thu, Nov 10, 2022",7:00p,,Box Score,,Dallas Mavericks,W,,113,105,6,6,W 2,18320,2:11,,WAS,2023
13,"Sat, Nov 12, 2022",6:00p,,Box Score,,Utah Jazz,W,,121,112,7,6,W 3,13673,2:07,,WAS,2023
14,"Sun, Nov 13, 2022",6:00p,,Box Score,,Memphis Grizzlies,W,,102,92,8,6,W 4,17667,2:13,,WAS,2023
15,"Wed, Nov 16, 2022",7:00p,,Box Score,,Oklahoma City Thunder,L,,120,121,8,7,L 1,12630,2:15,,WAS,2023
16,"Fri, Nov 18, 2022",7:00p,,Box Score,,Miami Heat,W,OT,107,106,9,7,W 1,18772,2:31,,WAS,2023
17,"Sun, Nov 20, 2022",6:00p,,Box Score,,Charlotte Hornets,W,,106,102,10,7,W 2,14289,2:17,,WAS,2023
18,"Wed, Nov 23, 2022",7:30p,,Box Score,@,Miami Heat,L,,105,113,10,8,L 1,19600,2:15,,WAS,2023
19,"Fri, Nov 25, 2022",8:00p,,Box Score,@,Miami Heat,L,,107,110,10,9,L 2,19600,2:19,,WAS,2023
20,"Sun, Nov 27, 2022",6:00p,,Box Score,@,Boston Celtics,L,,121,130,10,10,L 3,19156,2:08,,WAS,2023
21,"Mon, Nov 28, 2022",7:00p,,Box Score,,Minnesota Timberwolves,W,,142,127,11,10,W 1,13515,2:17,,WAS,2023
22,"Wed, Nov 30, 2022",7:30p,,Box Score,@,Brooklyn Nets,L,,107,113,11,11,L 1,15963,2:22,,WAS,2023
23,"Fri, Dec 2, 2022",7:00p,,Box Score,@,Charlotte Hornets,L,,116,117,11,12,L 2,15231,2:19,,WAS,2023
24,"Sun, Dec 4, 2022",6:00p,,Box Score,,Los Angeles Lakers,L,,119,130,11,13,L 3,19647,2:09,,WAS,2023
25,"Wed, Dec 7, 2022",8:00p,,Box Score,@,Chicago Bulls,L,,111,115,11,14,L 4,19265,2:17,,WAS,2023
26,"Fri, Dec 9, 2022",7:00p,,Box Score,@,Indiana Pacers,L,,111,121,11,15,L 5,15039,2:18,,WAS,2023
