Rk,Unnamed: 1,Salary,Team,Season
1,Jordan Poole,"$27,455,357",WAS,2024
2,Kyle Kuzma,"$25,568,182",WAS,2024
3,Tyus Jones,"$14,000,000",WAS,2024
4,Marvin Bagley,"$12,500,000",WAS,2024
5,Richaun Holmes,"$12,046,020",WAS,2024
6,Landry Shamet,"$10,250,000",WAS,2024
7,Delon Wright,"$8,195,122",WAS,2024
8,Bilal Coulibaly,"$6,614,280",WAS,2024
9,Deni Avdija,"$6,263,188",WAS,2024
10,Johnny Davis,"$5,050,800",WAS,2024
11,Corey Kispert,"$3,722,040",WAS,2024
12,Tristan Vukcevic,"$2,424,892",WAS,2024
13,Patrick Baldwin,"$2,337,720",WAS,2024
14,Taj Gibson,"$2,019,706",WAS,2024
15,Anthony Gill,"$1,997,238",WAS,2024
16,Isaiah Livers,"$1,836,096",WAS,2024
17,Xavier Cooks,"$1,719,864",WAS,2024
18,Ryan Rollins,"$1,719,864",WAS,2024
19,Jared Butler,"$1,250,000",WAS,2024
20,Eugene Omoruyi,"$900,000",WAS,2024
21,Hamidou Diallo,"$116,075",WAS,2024
22,Justin Champagnie,"$116,075",WAS,2024
23,R.J. Hampton,"$116,075",WAS,2024
24,Trey Jemison,"$64,343",WAS,2024
25,Eugene Omoruyi,,WAS,2024
26,Jared Butler,,WAS,2024
27,John Butler,,WAS,2024
28,Jules Bernard,,WAS,2024
29,Justin Champagnie,,WAS,2024
