season,player_id,player_name,position,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint,bench_press
2000,2124,Malik Allen,PF-C,80.25,,271.0,86.5,109.0,,,,25.5,29.0,11.83,3.38,13.0
2000,12019,Harold Arceneaux,SG-SF,76.5,,219.0,80.5,103.0,,,,,29.0,13.8,,0.0
2000,12020,Lamont Barnes,PF-C,80.5,,235.5,87.5,108.0,,,,28.0,29.5,12.3,3.4,10.0
2000,12131,Mario Bland,PF,77.5,,287.0,84.0,103.0,,,,27.0,31.0,13.04,3.47,15.0
2000,2056,Primoz Brezec,C,84.75,,243.0,86.0,110.0,,,,26.0,29.5,11.53,3.55,
2000,2081,Ernest Brown,C,82.0,,222.5,85.25,109.5,,,,,,,,2.0
2000,2049,Speedy Claxton,PG,70.5,,166.0,72.0,94.5,,,,36.0,42.5,10.48,3.06,6.0
2000,12132,Eric Coley,SG-SF,76.0,,205.0,83.0,102.0,,,,35.0,38.0,11.4,3.15,10.0
2000,12133,Ed Cota,PG,72.25,,189.0,76.0,96.5,,,,26.5,33.5,10.98,3.24,1.0
2000,12134,Schea Cotton,SF,76.25,,219.5,79.0,100.0,,,,34.0,38.0,11.55,3.0,19.0
2000,2037,Jamal Crawford,PG-SG,76.5,,175.0,82.0,102.5,,,,,,,,0.0
2000,12017,Caswell Cyrus,PF,79.75,,220.5,86.0,107.5,,,,33.5,37.5,12.12,3.16,18.0
2000,2064,Khalid El-Amin,PG,69.0,,200.0,73.5,93.0,,,,27.5,32.0,10.59,3.32,6.0
2000,12018,Vassil Evtimov,PF,81.75,,262.0,82.5,106.5,,,,21.0,28.5,11.75,3.52,13.0
2000,2238,Antonis Fotsis,SF,81.25,,219.0,80.5,106.0,,,,27.0,30.0,11.6,3.44,2.0
2000,2109,Eddie Gill,PG,71.75,,176.0,76.0,93.0,,,,35.0,38.5,11.12,3.18,13.0
2000,12135,Ceedric Goodwyn,SF-PF,78.0,,238.0,82.0,104.5,,,,,,,,
2000,12136,Marcus Goree,SF-PF,79.5,,239.0,84.5,105.5,,,,29.5,33.5,12.0,3.25,13.0
2000,12137,A.J. Granger,SF,79.5,,227.0,81.5,103.0,,,,30.0,34.0,10.73,3.25,20.0
2000,2062,A.J. Guyton,PG-SG,72.75,,175.0,75.75,97.5,,,,33.0,37.5,10.55,3.22,9.0
2000,2110,Ron Hale,SG-SF,79.5,,202.0,83.0,104.5,,,,29.5,34.5,12.58,3.2,11.0
2000,2078,Jason Hart,PG,73.75,,181.0,78.0,97.5,,,,29.5,33.5,11.7,3.34,9.0
2000,2051,Donnell Harvey,PF,79.25,,220.0,84.5,105.5,,,,33.0,32.5,11.23,,15.0
2000,12138,Johnny Hemsley,SG-SF,74.75,,200.0,80.0,100.5,,,,31.5,35.0,11.5,3.19,5.0
2000,12139,Michael Hermon,SG-PG,74.75,,195.0,78.25,98.5,,,,29.0,33.0,11.79,3.25,0.0
2000,2083,Cory Hightower,SG-SF,77.5,,183.0,83.0,101.5,,,,29.5,34.5,11.92,3.37,0.0
2000,12140,Shaheen Holloway,PG,69.5,,174.0,70.0,91.0,,,,,,11.22,3.32,6.0
2000,2067,Eddie House,SG-PG,71.75,,176.5,75.5,95.0,,,,29.5,38.5,11.12,3.27,5.0
2000,2111,Jimmie Hunter,SG-PG,75.0,,170.0,80.0,100.0,,,,29.0,36.0,11.23,3.35,0.0
2000,12141,Jacob Jaacks,PF,81.25,,238.0,83.0,105.5,,,,26.0,32.0,11.48,3.58,3.0
2000,2060,Marko Jaric,SG-SF,78.5,,210.0,81.0,104.0,,,,27.5,33.0,11.32,3.28,
2000,12142,Nate Johnson,SF,78.5,,211.5,80.5,104.0,,,,27.0,33.5,11.9,3.33,13.0
2000,12143,Kenyon Jones,PF-C,81.0,,282.0,85.0,108.0,,,,28.5,30.0,12.44,3.6,20.0
2000,2077,Mark Karcher,SG,76.0,,218.0,80.0,102.5,,,,27.5,30.5,11.51,3.4,12.0
2000,12144,Brandon Kurtz,PF-C,81.5,,257.0,83.25,106.5,,,,,,,,7.0
2000,2061,Dan Langhi,SF,81.0,,197.5,80.0,104.0,,,,31.0,34.5,10.85,3.24,12.0
2000,2090,Justin Love,PG-SG,73.5,,205.5,76.5,97.5,,,,31.0,38.5,10.99,3.31,24.0
2000,2058,Mark Madsen,PF,80.0,,236.5,84.5,104.5,,,,30.5,33.5,12.12,3.46,13.0
2000,2082,Dan McClintock,C-PF,83.0,,250.0,85.5,107.0,,,,33.0,35.0,11.52,3.33,20.0
2000,2087,Pete Mickeal,SG-SF,77.0,,222.0,81.5,103.5,,,,28.0,34.5,10.83,3.06,8.0
2000,12145,Brian Montonati,PF,80.75,,215.0,82.5,106.0,,,,25.0,29.0,11.85,3.53,5.0
2000,2508,Gabe Muoneke,PF-SF,78.25,,244.0,84.5,105.0,,,,30.5,34.0,11.0,3.4,22.0
2000,12146,Ndongo N'diaye,C,83.5,,208.0,87.5,112.5,,,,24.5,27.5,13.16,3.69,4.0
2000,2059,Eduardo Najera,PF-SF,78.5,,234.5,83.5,104.5,,,,28.0,35.0,11.38,3.45,15.0
2000,12147,Matthew Nielsen,PF,81.0,,223.0,82.5,106.0,,,,26.0,29.0,11.28,3.35,3.0
2000,2084,Chris Porter,SF-PF,77.5,,214.0,81.5,103.5,,,,28.5,35.0,10.93,3.2,6.0
2000,2068,Lavor Postell,SG,76.5,,205.0,80.5,101.5,,,,33.5,36.5,11.79,3.3,17.0
2000,2080,Igor Rakocevic,PG,74.5,,184.0,77.25,100.0,,,,27.5,34.0,10.4,3.1,9.0
2000,12148,Reed Rawlings,SG-SF,78.25,,218.0,81.25,104.0,,,,28.5,33.5,11.1,3.27,13.0
2000,2072,Michael Redd,SG-SF,76.75,,214.0,81.0,102.0,,,,27.0,31.0,12.06,3.34,12.0
2000,12149,Damon Reed,PF-C,80.5,,228.0,81.5,104.5,,,,27.5,31.5,11.21,3.31,4.0
2000,12021,Aubrey Reese,PG,70.75,,189.0,77.5,94.5,,,,31.5,37.5,11.13,3.25,14.0
2000,2121,Terrance Roberson,SF,77.5,,209.0,80.0,103.5,,,,29.0,32.5,11.66,,11.0
2000,12022,Julius Doc Robinson,PG,72.0,,184.0,75.75,95.5,,,,30.0,37.5,12.54,3.41,0.0
2000,12023,Pepe Sanchez,PG,75.0,,194.0,75.5,96.0,,,,26.0,31.0,11.62,3.44,8.0
2000,12024,Matt Santangelo,PG,72.0,,177.0,75.0,94.0,,,,33.5,43.0,10.66,3.06,12.0
2000,2637,Alex Scales,SG-PG,74.25,,184.5,81.0,97.5,,,,38.5,42.5,10.98,3.21,10.0
2000,12025,Karim Shabazz,C,83.5,,224.0,87.0,111.5,,,,24.5,28.0,12.72,3.36,2.0
2000,12026,Nick Sheppard,PF-C,81.5,,273.0,83.0,107.5,,,,23.5,25.5,12.14,3.52,18.0
2000,2065,Mike Smith,SF,78.5,,198.0,80.5,103.0,,,,33.0,21.0,11.32,3.22,12.0
2000,2074,Jabari Smith,PF-C,81.75,,240.5,86.5,109.5,,,,24.5,30.0,12.45,3.43,15.0
2000,12027,Jarrett Stephens,PF,77.25,,258.0,81.25,103.0,,,,27.0,29.0,11.98,3.46,13.0
2000,12028,Bootsy Thornton,SG,75.5,,194.5,78.5,101.5,,,,26.5,31.0,12.08,3.33,7.0
2000,12029,Jaquay Walls,PG,73.25,,165.5,74.5,96.5,,,,28.5,35.5,10.75,3.23,0.0
2000,12030,Jameel Watkins,PF-C,81.5,,244.5,90.0,110.0,,,,28.0,30.5,12.38,3.45,11.0
2001,12033,Adam Allenspach,C,83.5,,259.0,84.5,107.0,12.4,,,28.5,31.0,11.9,3.4,16.0
2001,2240,Gilbert Arenas,SG,74.25,,199.0,81.5,99.5,5.3,,,31.5,36.0,,3.25,12.0
2001,2220,Brandon Armstrong,SG,75.5,,188.0,81.5,99.5,9.3,,,30.0,37.0,10.91,3.2,6.0
2001,2203,Shane Battier,SF-PF,80.25,,229.0,82.5,105.0,9.3,,,29.5,33.0,10.95,3.3,12.0
2001,12034,Cookie Belcher,SG-PG,75.0,,206.0,80.5,99.0,5.3,,,35.0,41.5,11.26,2.91,7.0
2001,2294,Charlie Bell,PG,74.5,,200.0,79.5,97.5,6.7,,,31.5,38.0,10.59,3.12,15.0
2001,2257,Ruben Boumtje-Boumtje,C,83.5,,245.0,88.0,111.0,6.0,,,26.5,31.0,11.84,3.33,6.0
2001,12035,Calvin Bowman,PF,80.75,,214.0,83.5,104.0,8.6,,,28.5,34.5,11.96,3.21,7.0
2001,2214,Michael Bradley,PF,81.5,,227.0,85.5,107.0,9.3,,,27.0,30.0,11.11,3.35,13.0
2001,2249,Jamison Brewer,PG,74.5,,178.0,80.75,102.5,6.7,,,26.0,32.5,9.65,3.15,12.0
2001,2198,Kwame Brown,PF-C,82.0,,243.0,85.0,108.0,8.9,,,30.0,33.0,11.59,3.45,17.0
2001,12031,SirValiant Brown,PG,71.0,,176.0,76.0,92.5,6.7,,,31.0,39.5,11.23,3.0,10.0
2001,2245,Damone Brown,SF,80.25,,202.0,83.75,104.5,6.7,,,32.0,37.0,11.81,3.27,6.0
