player_id,player_name,season_start,games_inactive
0, ,2000,1
1000,Shandon Anderson,2005,15
1005,Walt Williams,1997,1
1005,Walt Williams,1999,1
101106,Andrew Bogut,2006,15
101106,Andrew Bogut,2007,2
101106,Andrew Bogut,2008,44
101106,Andrew Bogut,2009,14
101106,Andrew Bogut,2010,6
101106,Andrew Bogut,2011,51
101106,Andrew Bogut,2013,15
101106,Andrew Bogut,2014,14
101106,Andrew Bogut,2015,8
101106,Andrew Bogut,2016,19
101106,Andrew Bogut,2017,2
101106,Andrew Bogut,2018,7
101107,Marvin Williams,2006,15
101107,Marvin Williams,2008,19
101107,Marvin Williams,2010,11
101107,Marvin Williams,2011,3
101107,Marvin Williams,2013,9
101107,Marvin Williams,2016,7
101107,Marvin Williams,2017,4
101107,Marvin Williams,2018,6
101107,Marvin Williams,2019,7
101108,Chris Paul,2005,4
101108,Chris Paul,2006,10
101108,Chris Paul,2007,2
101108,Chris Paul,2009,11
101108,Chris Paul,2010,1
101108,Chris Paul,2011,1
101108,Chris Paul,2013,15
101108,Chris Paul,2014,1
101108,Chris Paul,2015,3
101108,Chris Paul,2016,9
101108,Chris Paul,2017,9
101108,Chris Paul,2018,18
101108,Chris Paul,2019,1
101108,Chris Paul,2020,2
101108,Chris Paul,2021,14
101108,Chris Paul,2022,15
101109,Raymond Felton,2005,1
101109,Raymond Felton,2006,3
101109,Raymond Felton,2009,2
101109,Raymond Felton,2010,2
101109,Raymond Felton,2011,1
101109,Raymond Felton,2013,6
101109,Raymond Felton,2014,25
101109,Raymond Felton,2015,1
101110,Martell Webster,2005,13
101110,Martell Webster,2006,1
101110,Martell Webster,2008,79
101110,Martell Webster,2010,32
101110,Martell Webster,2011,17
101110,Martell Webster,2014,34
101110,Martell Webster,2015,16
101111,Charlie Villanueva,2006,33
101111,Charlie Villanueva,2007,2
101111,Charlie Villanueva,2008,4
101111,Charlie Villanueva,2009,1
101111,Charlie Villanueva,2010,3
101111,Charlie Villanueva,2011,20
101111,Charlie Villanueva,2013,5
101111,Charlie Villanueva,2015,1
101112,Channing Frye,2005,13
101112,Channing Frye,2006,8
101112,Channing Frye,2008,3
101112,Channing Frye,2010,6
101112,Channing Frye,2014,1
101112,Channing Frye,2016,7
101112,Channing Frye,2017,11
101112,Channing Frye,2018,1
101113,Ike Diogu,2005,10
101113,Ike Diogu,2006,12
101113,Ike Diogu,2007,20
101113,Ike Diogu,2008,2
101113,Ike Diogu,2009,77
101114,Deron Williams,2006,2
101114,Deron Williams,2008,11
101114,Deron Williams,2009,3
101114,Deron Williams,2010,11
101114,Deron Williams,2013,5
101114,Deron Williams,2014,12
101114,Deron Williams,2015,7
101114,Deron Williams,2016,4
101115,Andrew Bynum,2005,7
101115,Andrew Bynum,2007,59
101115,Andrew Bynum,2008,26
101115,Andrew Bynum,2009,7
101115,Andrew Bynum,2010,26
101115,Andrew Bynum,2011,1
101115,Andrew Bynum,2012,1
101115,Andrew Bynum,2013,57
101117,Yaroslav Korolev,2005,28
101117,Yaroslav Korolev,2006,36
101118,Sean May,2005,51
101118,Sean May,2006,34
101118,Sean May,2007,77
101118,Sean May,2008,34
101118,Sean May,2009,7
101119,Rashad McCants,2006,35
101119,Rashad McCants,2007,4
101119,Rashad McCants,2008,2
101120,Antoine Wright,2005,27
101120,Antoine Wright,2006,4
101120,Antoine Wright,2007,14
101120,Antoine Wright,2008,1
101120,Antoine Wright,2009,11
101120,Antoine Wright,2010,4
101121,Joey Graham,2006,2
101121,Joey Graham,2007,13
101121,Joey Graham,2009,4
101121,Joey Graham,2010,15
101122,Danny Granger,2007,1
101122,Danny Granger,2008,10
101122,Danny Granger,2009,17
101122,Danny Granger,2010,3
101122,Danny Granger,2011,2
101122,Danny Granger,2012,22
101122,Danny Granger,2013,30
101122,Danny Granger,2014,29
101122,Danny Granger,2015,2
101123,Gerald Green,2005,40
101123,Gerald Green,2007,5
101123,Gerald Green,2008,15
101123,Gerald Green,2015,5
101123,Gerald Green,2016,8
101123,Gerald Green,2018,4
101123,Gerald Green,2019,46
101124,Hakim Warrick,2007,3
101125,Julius Hodge,2005,32
101125,Julius Hodge,2006,27
101126,Nate Robinson,2005,9
101126,Nate Robinson,2006,1
101126,Nate Robinson,2007,3
101126,Nate Robinson,2009,1
101126,Nate Robinson,2010,11
101126,Nate Robinson,2014,1
101127,Jarrett Jack,2010,1
101127,Jarrett Jack,2011,4
101127,Jarrett Jack,2013,1
101127,Jarrett Jack,2015,44
101127,Jarrett Jack,2016,5
101127,Jarrett Jack,2017,1
101128,Francisco Garcia,2005,8
101128,Francisco Garcia,2007,4
101128,Francisco Garcia,2008,16
101128,Francisco Garcia,2009,43
101128,Francisco Garcia,2010,14
101128,Francisco Garcia,2011,1
101128,Francisco Garcia,2013,3
101128,Francisco Garcia,2014,2
101129,Luther Head,2006,2
101129,Luther Head,2007,5
101129,Luther Head,2008,29
101129,Luther Head,2009,3
101129,Luther Head,2010,10
101130,Johan Petro,2005,8
101130,Johan Petro,2006,1
101130,Johan Petro,2008,3
101130,Johan Petro,2009,16
101131,Jason Maxiell,2005,14
101131,Jason Maxiell,2009,2
101131,Jason Maxiell,2010,1
101132,Linas Kleiza,2010,35
101132,Linas Kleiza,2011,12
101133,Ian Mahinmi,2007,77
