team,season_start,payroll,payroll_real_2023
Cleveland,1990,14403000,32854246
New York,1990,13290000,30315416
Detroit,1990,12910000,29448608
LA Lakers,1990,12120000,27646565
Atlanta,1990,11761000,26827658
Dallas,1990,11693000,26672548
Philadelphia,1990,11640000,26551652
Milwaukee,1990,11595000,26449002
Phoenix,1990,11463000,26147902
Brooklyn,1990,11410000,26027003
Boston,1990,11256000,25675719
Portland,1990,11215000,25582195
Golden State,1990,11150000,25433926
San Antonio,1990,11057000,25221786
Indiana,1990,10981000,25048425
Utah,1990,10695000,24396040
Oklahoma City,1990,10590000,24156528
Houston,1990,10500000,23951232
Charlotte,1990,10417000,23761902
Denver,1990,10335000,23574853
LA Clippers,1990,10245000,23369557
Chicago,1990,10040000,22901939
Washington,1990,9610000,21921080
Sacramento,1990,9605000,21909674
Miami,1990,8510000,19411901
Minnesota,1990,7540000,17199264
Orlando,1990,7532000,17181014
Boston,1991,25343000,55216239
Cleveland,1991,16882000,36781775
Chicago,1991,16829000,36666301
LA Lakers,1991,15673000,34147658
Detroit,1991,15428000,33613861
Indiana,1991,15090000,32877440
Philadelphia,1991,14058000,30628962
Phoenix,1991,13593000,29615842
Oklahoma City,1991,13308000,28994897
Houston,1991,13274000,28920820
Dallas,1991,13004000,28332555
LA Clippers,1991,12976000,28271548
Atlanta,1991,12930000,28171326
Utah,1991,12761000,27803115
Portland,1991,12742000,27761718
Washington,1991,12633000,27524234
Charlotte,1991,12625000,27506806
Brooklyn,1991,12598000,27447979
Golden State,1991,12500000,27234460
Sacramento,1991,12492000,27217031
Milwaukee,1991,12451000,27127702
New York,1991,12399000,27014405
Orlando,1991,12250000,26689772
Denver,1991,11879000,25881448
San Antonio,1991,11587000,25245253
Miami,1991,11514000,25086205
Minnesota,1991,10763000,23449956
Boston,1992,25217000,53295815
Cleveland,1992,19676000,41584979
LA Lakers,1992,18851000,39841350
Chicago,1992,18536000,39175603
San Antonio,1992,18083000,38218193
Atlanta,1992,18036000,38118858
Philadelphia,1992,17367000,36704936
Washington,1992,17249000,36455543
Portland,1992,16369000,34595677
Brooklyn,1992,16314000,34479433
Indiana,1992,16268000,34382213
Houston,1992,15877000,33555838
Golden State,1992,15473000,32701989
Miami,1992,15125000,31966497
Orlando,1992,14970000,31638906
Utah,1992,14517000,30681498
