PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
203500,Steven,Adams,Oklahoma City Thunder,All-Rookie Team,2,2013-14,,,1610612760,Award,Kia Motors,KIART,
1628389,Bam,Adebayo,Miami Heat,All-Defensive Team,2,2019-20,,,East,Award,Kia Motors,KIADT,
1628389,Bam,Adebayo,Miami Heat,All-Defensive Team,2,2020-21,,,East,Award,Kia Motors,KIADT,
1628389,Bam,Adebayo,Miami Heat,All-Defensive Team,2,2021-22,,,East,Award,Kia Motors,KIADT,
1628389,Bam,Adebayo,Miami Heat,All-Defensive Team,2,2022-23,,,East,Award,Kia Motors,KIADT,
1628389,Bam,Adebayo,Miami Heat,All-Defensive Team,1,2023-24,,,East,Award,Kia Motors,KIADT,
1628389,Bam,Adebayo,Miami Heat,All-Defensive Team,2,2025-26,,,East,Award,Kia Motors,KIADT,
1628389,Bam,Adebayo,,NBA All-Star,,2019-20,,,,Award,All-Star,,
1628389,Bam,Adebayo,,NBA All-Star,,2022-23,,,,Award,All-Star,,
1628389,Bam,Adebayo,,NBA All-Star,,2023-24,,,,Award,All-Star,,
1628389,Bam,Adebayo,Miami Heat,NBA Player of the Week,,2019-20,,2019-12-09T00:00:00,East,Award,Kia Motors,KIPWK,
1628389,Bam,Adebayo,Miami Heat,NBA Player of the Week,,2023-24,,2024-01-08T00:00:00,East,Award,Kia Motors,KIPWK,
1628389,Bam,Adebayo,Miami Heat,NBA Player of the Week,,2025-26,,2026-01-12T00:00:00,East,Award,Kia Motors,KIPWK,
1628389,Bam,Adebayo,Miami Heat,NBA Player of the Week,,2025-26,,2026-03-09T00:00:00,East,Award,Kia Motors,KIPWK,
1628389,Bam,Adebayo,USA,Olympic Gold Medal,,2020,,,,Award,Olympic,Gold,
1628389,Bam,Adebayo,USA,Olympic Gold Medal,,2024,,,,Award,Olympic,Gold,
1629638,Nickeil,Alexander-Walker,Atlanta Hawks,NBA Most Improved Player,,2025-26,,,East,Award,Kia Motors,KIMIP,
1628386,Jarrett,Allen,,NBA All-Star,,2021-22,,,,Award,All-Star,,
1628386,Jarrett,Allen,Cleveland Cavaliers,NBA Player of the Week,,2021-22,,2021-11-01T00:00:00,East,Award,Kia Motors,KIPWK,
203507,Giannis,Antetokounmpo,Milwaukee Bucks,All-Defensive Team,2,2016-17,,,East,Award,Kia Motors,KIADT,
203507,Giannis,Antetokounmpo,Milwaukee Bucks,All-Defensive Team,1,2018-19,,,East,Award,Kia Motors,KIADT,
203507,Giannis,Antetokounmpo,Milwaukee Bucks,All-Defensive Team,1,2019-20,,,East,Award,Kia Motors,KIADT,
