player,season_start,salary,salary_real_2023
Patrick Ewing,1990,4250000,9694547
Hot Rod Williams,1990,3785000,8633850
Hakeem Olajuwon,1990,3175000,7242397
Charles Barkley,1990,2900000,6615103
Chris Mullin,1990,2850000,6501049
Isiah Thomas,1990,2720000,6204510
Danny Ferry,1990,2640000,6022024
Robert Parish,1990,2500000,5702675
Michael Jordan,1990,2500000,5702675
Moses Malone,1990,2406000,5488254
Magic Johnson,1990,2400000,5474568
Wayman Tisdale,1990,2330000,5314893
Pervis Ellison,1990,2300000,5246461
David Robinson,1990,2265000,5166623
Karl Malone,1990,2260000,5155218
Ralph Sampson,1990,2250000,5132407
Danny Manning,1990,2200000,5018354
Blair Rasmussen,1990,2185000,4984138
Chuck Person,1990,2150000,4904300
Derrick Coleman,1990,2100000,4790247
Dominique Wilkins,1990,2065000,4710409
Tom Chambers,1990,2060000,4699004
Sam Bowie,1990,2000000,4562140
LaSalle Thompson,1990,2000000,4562140
Willie Burton,1990,2000000,4562140
Terry Porter,1990,2000000,4562140
John Stockton,1990,2000000,4562140
Mark Eaton,1990,2000000,4562140
Sam Perkins,1990,1970000,4493708
Terry Cummings,1990,1860000,4242790
Sean Elliott,1990,1800000,4105926
Mark Jackson,1990,1785000,4071710
Otis Thorpe,1990,1760000,4014683
A.C. Green,1990,1750000,3991872
Benoit Benjamin,1990,1750000,3991872
Kevin Johnson,1990,1750000,3991872
Kevin Duckworth,1990,1710000,3900629
Alton Lister,1990,1700000,3877819
Gary Payton,1990,1685000,3843603
Mahmoud Abdul-Rauf,1990,1660000,3786576
Mike Gminski,1990,1650000,3763765
Rolando Blackman,1990,1650000,3763765
James Worthy,1990,1600000,3649712
Alec Kessler,1990,1600000,3649712
Jack Sikma,1990,1600000,3649712
Bernard King,1990,1600000,3649712
Dennis Scott,1990,1560000,3558469
Jon Koncak,1990,1550000,3535658
Glen Rice,1990,1550000,3535658
Buck Williams,1990,1550000,3535658
Derek Harper,1990,1519000,3464945
Fat Lever,1990,1519000,3464945
Bill Laimbeer,1990,1510000,3444415
Larry Bird,1990,1500000,3421605
Kendall Gill,1990,1500000,3421605
Alex English,1990,1500000,3421605
Danny Schayes,1990,1500000,3421605
Johnny Dawkins,1990,1500000,3421605
Kevin McHale,1990,1400000,3193498
Mark Price,1990,1400000,3193498
Vinnie Johnson,1990,1400000,3193498
Sleepy Floyd,1990,1400000,3193498
Xavier McDaniel,1990,1400000,3193498
Greg Anderson,1990,1365000,3113660
Ron Harper,1990,1365000,3113660
Rik Smits,1990,1350000,3079444
Rick Mahorn,1990,1330000,3033823
Brad Daugherty,1990,1320000,3011012
Manute Bol,1990,1300000,2965391
Brad Lohaus,1990,1275000,2908364
Sarunas Marciulionis,1990,1270000,2896958
Larry Nance,1990,1260000,2874148
Roy Hinson,1990,1250000,2851337
J.R. Reid,1990,1250000,2851337
Dale Ellis,1990,1250000,2851337
Jim Petersen,1990,1235000,2817121
Brian Shaw,1990,1212000,2764656
Drazen Petrovic,1990,1200000,2737284
Johnny Newman,1990,1200000,2737284
Tony Campbell,1990,1200000,2737284
Armen Gilliam,1990,1200000,2737284
Clyde Drexler,1990,1180000,2691662
Detlef Schrempf,1990,1160000,2646041
Randy Breuer,1990,1150000,2623230
Mark Aguirre,1990,1115000,2543393
Bill Cartwright,1990,1100000,2509177
Byron Scott,1990,1100000,2509177
Ricky Pierce,1990,1100000,2509177
Jeff Hornacek,1990,1100000,2509177
Wayne Cooper,1990,1100000,2509177
Terry Catledge,1990,1085000,2474961
Felton Spencer,1990,1070000,2440744
Ken Norman,1990,1050000,2395123
Charles Oakley,1990,1050000,2395123
Joe Dumars,1990,1035000,2360907
Kiki Vandeweghe,1990,1025000,2338096
Kelly Tripucka,1990,1000000,2281070
Horace Grant,1990,1000000,2281070
Stacey King,1990,1000000,2281070
Herb Williams,1990,1000000,2281070
Tyrone Hill,1990,1000000,2281070
Charles Smith,1990,1000000,2281070
Maurice Cheeks,1990,1000000,2281070
Eddie Johnson,1990,1000000,2281070
Hersey Hawkins,1990,1000000,2281070
Thurl Bailey,1990,1000000,2281070
John Williams,1990,1000000,2281070
Joe Wolf,1990,990000,2258259
Rodney McCray,1990,985000,2246854
Sam Vincent,1990,980000,2235448
Derrick McKey,1990,962000,2194389
Chris Dudley,1990,950000,2167016
Bo Kimble,1990,950000,2167016
George McCloud,1990,940000,2144205
James Edwards,1990,935000,2132800
Lionel Simmons,1990,930000,2121395
Craig Ehlo,1990,925000,2109989
Dennis Hopson,1990,915000,2087179
Jeff Malone,1990,915000,2087179
Michael Cage,1990,910000,2075773
Frank Brickowski,1990,905000,2064368
Dell Curry,1990,900000,2052963
Lester Conner,1990,900000,2052963
Kurt Rambis,1990,900000,2052963
Walter Davis,1990,900000,2052963
Paul Pressey,1990,900000,2052963
Doc Rivers,1990,895000,2041557
James Donaldson,1990,880000,2007341
Dennis Rodman,1990,880000,2007341
Kenny Walker,1990,875000,1995936
Mark West,1990,875000,1995936
Alvin Robertson,1990,870000,1984530
Joe Kleine,1990,850000,1938909
William Bedford,1990,850000,1938909
Mitch Richmond,1990,850000,1938909
Darrell Griffith,1990,850000,1938909
Sidney Green,1990,837000,1909255
Trent Tucker,1990,835000,1904693
Tyrone Corbin,1990,830000,1893288
Michael Adams,1990,825000,1881882
Loy Vaught,1990,825000,1881882
Muggsy Bogues,1990,805000,1836261
Orlando Woolridge,1990,805000,1836261
Rumeal Robinson,1990,800000,1824856
Tree Rollins,1990,800000,1824856
Larry Smith,1990,800000,1824856
Travis Mays,1990,800000,1824856
Tom Hammonds,1990,800000,1824856
Tim McCormick,1990,775000,1767829
Vlade Divac,1990,770000,1756423
Reggie Theus,1990,765000,1745018
Scottie Pippen,1990,765000,1745018
Roy Tarpley,1990,765000,1745018
Mike Sanders,1990,760000,1733613
Rony Seikaly,1990,755000,1722207
Ed Pinckney,1990,750000,1710802
Chris Morris,1990,750000,1710802
Cliff Levingston,1990,750000,1710802
David Wingate,1990,750000,1710802
Randy White,1990,730000,1665181
Gerald Wilkins,1990,725000,1653775
Nick Anderson,1990,725000,1653775
Danny Ainge,1990,725000,1653775
Willie Anderson,1990,725000,1653775
Kenny Smith,1990,700000,1596749
Bill Wennington,1990,700000,1596749
Fred Roberts,1990,690000,1573938
Kevin Willis,1990,685000,1562532
Rex Chapman,1990,675000,1539722
Buck Johnson,1990,675000,1539722
Tim Perry,1990,675000,1539722
Charles Jones,1990,675000,1539722
Vern Fleming,1990,667000,1521473
Nate McMillan,1990,658000,1500944
Reggie Miller,1990,654000,1491819
Alexander Volkov,1990,650000,1482695
Dave Jamerson,1990,650000,1482695
Jay Humphries,1990,650000,1482695
Sedale Threatt,1990,650000,1482695
Duane Causwell,1990,650000,1482695
Dave Greenwood,1990,650000,1482695
Mike Brown,1990,650000,1482695
Chucky Brown,1990,630000,1437074
Mychal Thompson,1990,615000,1402858
Pooh Richardson,1990,615000,1402858
