Player,season_start,REG_PER,REG_TS%,REG_USG%,REG_WS,REG_WS/48,REG_VORP,REG_BPM,REG_OBPM,REG_DBPM,POF_PER,POF_TS%,POF_USG%,POF_WS,POF_WS/48,POF_VORP,POF_BPM,POF_OBPM,POF_DBPM,team
A.C. Green,1995,14.2,0.596,14.2,6.7,0.12,1.3,-0.1,0.8,-0.9,17.4,0.605,14.1,1.3,0.172,0.4,2.2,2.9,-0.7,PHO
A.C. Green,1996,12.9,0.558,13.2,4.4,0.1,0.4,-1.3,-0.4,-0.9,8.6,0.463,11.4,0.0,-0.013,-0.1,-4.5,-2.5,-2.0,PHO
A.C. Green,1997,12.6,0.527,11.2,4.0,0.099,0.4,-1.3,-0.7,-0.5,,,,,,,,,,DAL
A.C. Green,1998,12.8,0.496,11.6,5.2,0.095,0.4,-1.4,-1.1,-0.3,,,,,,,,,,DAL
A.C. Green,1999,12.5,0.441,14.8,1.4,0.074,0.0,-2.2,-1.1,-1.1,,,,,,,,,,DAL
A.C. Green,2000,11.2,0.482,11.0,5.0,0.124,0.8,-0.3,-1.1,0.8,10.6,0.449,11.5,0.6,0.071,0.1,-1.3,-1.4,0.1,LAL
A.C. Green,2001,11.2,0.492,14.4,3.2,0.11,-0.1,-2.2,-2.2,0.0,6.9,0.436,10.2,0.0,0.009,0.0,-1.2,-4.0,2.7,MIA
A.J. Bramlett,2000,-0.4,0.19,17.1,-0.2,-0.129,-0.2,-15.9,-9.2,-6.7,,,,,,,,,,CLE
A.J. Green,2023,11.5,0.607,16.6,0.8,0.111,0.1,-0.9,-0.3,-0.6,,,,,,,,,,MIL
A.J. Guyton,2001,10.3,0.495,16.5,0.3,0.02,-0.3,-4.0,-0.8,-3.2,,,,,,,,,,CHI
A.J. Guyton,2002,11.8,0.477,22.2,0.1,0.006,0.1,-1.6,1.3,-2.8,,,,,,,,,,CHI
A.J. Guyton,2003,-9.0,0.0,23.6,-0.1,-0.45,0.0,-16.4,-14.1,-2.3,,,,,,,,,,GSW
A.J. Hammons,2017,8.4,0.472,17.6,0.0,-0.001,-0.2,-6.6,-6.6,0.0,,,,,,,,,,DAL
A.J. Lawson,2023,13.5,0.58,21.1,0.1,0.057,-0.1,-4.6,-1.5,-3.1,,,,,,,,,,DAL
A.J. Price,2010,14.0,0.53,22.7,1.2,0.065,0.3,-0.5,-0.1,-0.4,,,,,,,,,,IND
A.J. Price,2011,10.7,0.454,22.7,0.3,0.02,-0.2,-2.9,-1.9,-1.1,14.4,0.533,26.2,0.1,0.046,0.1,1.0,1.7,-0.7,IND
A.J. Price,2012,11.5,0.454,17.7,0.7,0.063,0.1,-1.0,-0.6,-0.5,21.4,0.5,13.2,0.0,0.223,0.0,5.8,5.6,0.2,IND
A.J. Price,2014,9.7,0.469,23.2,0.0,-0.012,-0.1,-4.8,-2.4,-2.4,,,,,,,,,,MIN
A.J. Price,2015,7.7,0.3,20.6,-0.1,-0.051,-0.1,-5.9,-4.6,-1.3,,,,,,,,,,CLE
AJ Griffin,2023,12.6,0.577,17.9,2.2,0.075,0.4,-0.8,-0.3,-0.5,,,,,,,,,,ATL
Aaron Brooks,2008,13.1,0.535,21.8,1.4,0.112,0.3,-0.2,-0.5,0.2,5.8,0.419,31.2,-0.1,-0.054,-0.1,-9.7,-8.1,-1.6,HOU
